recno,Q,Img,Name,Type,Score,delSc,Prob,zsp,zph,e_zph,Mod,Ref,gmag,rmag,zmag,Survey,Sloan,_RA,_DE,pair_ok
18,A,18,DESI-016.2202-07.9520,DC,4.0,0,0.48,,0.764,0.032,shielded,,23.36,21.16,19.29,DECaLS,Sloan,16.2202,-7.952,True
19,A,19,DESI-016.7705-31.4780,DC,4.0,0,1.0,,0.772,0.018,L18,,21.77,19.95,18.12,DECaLS,Sloan,16.7705,-31.478,True
20,A,20,DESI-017.4814+04.1605,DC,4.0,0,0.19,,0.281,0.14,L18,,19.66,18.53,17.85,DECaLS,Sloan,17.4814,4.1605,True
21,A,21,DESI-018.1307-62.1502,REX,4.0,0,0.99,,0.427,0.024,shielded,,20.07,18.27,17.32,DECaLS,Sloan,18.1307,-62.1502,True
22,A,22,DESI-021.0887-32.0706,DC,3.5,1,0.82,,0.754,0.08,shielded,,22.59,20.88,19.25,DECaLS,Sloan,21.0887,-32.0706,True
23,A,23,DESI-022.2123-29.9602,DC,4.0,0,1.0,,0.649,0.023,L18,,21.73,19.98,18.5,DECaLS,Sloan,22.2123,-29.9602,True
24,A,24,DESI-022.3887-15.1097,DC,4.0,0,1.0,,0.524,0.063,L18,,21.78,20.01,18.81,DECaLS,Sloan,22.3887,-15.1097,True
25,A,25,DESI-024.2940-10.5728,DC,3.5,1,0.87,0.4135,,,L18,,20.89,18.92,17.3,DECaLS,Sloan,24.294,-10.5728,True
26,A,26,DESI-024.5974-28.7358,DC,3.5,1,1.0,,0.414,0.022,L18,d,20.42,18.6,17.62,DECaLS,Sloan,24.5974,-28.7358,True
27,A,27,DESI-024.7783+22.1231,DC,3.5,1,0.13,0.4684,,,L18,,21.06,19.09,17.93,DECaLS,Sloan,24.7783,22.1231,True
28,A,28,DESI-025.9952+12.9370,DC,3.5,1,0.92,0.5114,,,L18,,20.75,18.86,17.8,DECaLS,Sloan,25.9952,12.937,True
29,A,29,DESI-026.2765+10.3100,REX,3.5,1,0.28,,0.462,0.138,L18,,21.56,20.16,19.51,DECaLS,Sloan,26.2765,10.31,True
30,A,30,DESI-027.2716-16.9818,DC,3.5,1,0.92,0.6916,,,L18,d,20.91,19.07,17.65,DECaLS,Sloan,27.2716,-16.9818,True
31,A,31,DESI-027.4831-28.5753,DC,3.5,1,0.97,,0.557,0.008,L18,,21.32,19.43,18.14,DECaLS,Sloan,27.4831,-28.5753,True
32,A,32,DESI-027.9088-04.1209,DC,3.5,1,0.81,0.6412,,,L18,,21.89,20.11,18.58,DECaLS,Sloan,27.9088,-4.1209,True
33,A,33,DESI-027.9613-10.0977,DC,4.0,0,1.0,0.5234,,,L18,,22.05,20.36,18.87,DECaLS,Sloan,27.9613,-10.0977,True
34,A,34,DESI-029.4044-12.3606,REX,4.0,0,0.96,,0.747,0.169,shielded,,20.77,20.19,19.2,DECaLS,Sloan,29.4044,-12.3606,True
35,A,35,DESI-030.4025+03.7476,DC,4.0,0,0.64,0.1696,,,L18,,19.16,17.93,17.16,DECaLS,Sloan,30.4025,3.7476,True
36,A,36,DESI-031.3208-01.3890,REX,3.5,1,1.0,0.6992,,,shielded,d,21.01,20.18,19.05,DECaLS,Sloan,31.3208,-1.389,True
37,A,37,DESI-031.6711-17.9929,REX,3.5,1,0.1,0.1548,,,shielded,,20.49,19.62,19.27,DECaLS,Sloan,31.6711,-17.9929,True
38,A,38,DESI-031.7778-27.4457,DC,4.0,0,1.0,,0.294,0.018,shielded,d,18.78,17.26,16.37,DECaLS,Sloan,31.7778,-27.4457,True
39,A,39,DESI-032.4042-25.3555,DC,3.5,1,0.49,,0.224,0.015,L18,,18.15,16.87,16.13,DECaLS,Sloan,32.4042,-25.3555,True
40,A,40,DESI-032.4765-35.7990,REX,4.0,0,0.98,,0.38,0.076,shielded,,21.42,19.78,18.95,DECaLS,Sloan,32.4765,-35.799,True
41,A,41,DESI-034.2366-59.8485,REX,4.0,0,0.66,,0.498,0.017,shielded,,21.01,19.34,18.29,DECaLS,Sloan,34.2366,-59.8485,True
42,A,42,DESI-035.2405-38.5511,REX,4.0,0,0.45,,0.407,0.038,shielded,d,18.98,17.32,16.39,DECaLS,Sloan,35.2405,-38.5511,True
43,A,43,DESI-035.7946-22.8049,DC,3.5,1,1.0,,0.89,0.048,L18,,22.44,21.1,19.33,DECaLS,Sloan,35.7946,-22.8049,True
44,A,44,DESI-036.2340+08.8300,DC,4.0,0,1.0,,0.326,0.035,L18,,18.15,16.5,15.61,DECaLS,Sloan,36.234,8.83,True
45,A,45,DESI-036.8326-24.1921,REX,3.5,1,0.39,,0.405,0.022,shielded,,19.27,17.43,16.46,DECaLS,Sloan,36.8326,-24.1921,True
46,A,46,DESI-037.0621-29.3949,DC,3.5,1,0.93,,0.312,0.013,L18,,19.74,18.11,17.25,DECaLS,Sloan,37.0621,-29.3949,True
47,A,47,DESI-037.4837-31.1730,DC,3.5,1,0.99,,0.466,0.075,L18,,22.06,20.28,19.17,DECaLS,Sloan,37.4837,-31.173,True
48,A,48,DESI-038.0264-35.4899,REX,3.5,1,1.0,,0.55,0.097,L18,,21.31,20.0,18.9,DECaLS,Sloan,38.0264,-35.4899,True
49,A,49,DESI-038.8136-21.5095,REX,4.0,0,0.94,,0.328,0.035,shielded,,22.15,20.64,19.83,DECaLS,Sloan,38.8136,-21.5095,True
50,A,50,DESI-040.2205-05.8472,DC,3.5,1,0.97,0.5238,,,L18,,21.68,19.81,18.52,DECaLS,Sloan,40.2205,-5.8472,True
51,A,51,DESI-040.5664-25.1054,REX,4.0,0,0.82,,0.325,0.045,shielded,,21.68,20.12,19.31,DECaLS,Sloan,40.5664,-25.1054,True
52,A,52,DESI-040.7627-00.1001,DC,3.5,1,1.0,0.4127,,,L18,d,19.95,18.14,17.19,DECaLS,Sloan,40.7627,-0.1001,True
53,A,53,DESI-041.7608+03.9333,DC,4.0,0,0.3,0.2603,,,shielded,,18.53,16.99,16.14,DECaLS,Sloan,41.7608,3.9333,True
54,A,54,DESI-042.0371-02.2771,REX,3.5,1,0.93,,0.247,0.018,L18,,20.04,18.66,17.9,DECaLS,Sloan,42.0371,-2.2771,True
55,A,55,DESI-043.1867-13.2239,REX,3.5,1,0.67,,0.431,0.033,shielded,,22.31,20.58,19.67,DECaLS,Sloan,43.1867,-13.2239,True
56,A,56,DESI-043.5347-28.7960,DC,4.0,0,0.93,,0.632,0.021,L18,,22.19,20.3,18.82,DECaLS,Sloan,43.5347,-28.796,True
57,A,57,DESI-043.6660-04.3071,DC,3.5,1,1.0,0.288,,,L18,,19.35,17.68,16.79,DECaLS,Sloan,43.666,-4.3071,True
58,A,58,DESI-044.4121-22.1575,DC,3.5,1,0.46,,0.484,0.07,shielded,,21.01,19.36,18.49,DECaLS,Sloan,44.4121,-22.1575,True
59,A,59,DESI-044.4344-20.1488,DC,3.5,1,0.49,,0.711,0.025,L18,,23.07,21.09,19.42,DECaLS,Sloan,44.4344,-20.1488,True
60,A,60,DESI-044.7161-19.9477,REX,3.5,1,0.89,,0.535,0.327,shielded,,20.04,19.79,19.07,DECaLS,Sloan,44.7161,-19.9477,True
61,A,61,DESI-044.9811+01.1387,DC,3.5,1,1.0,,0.834,0.079,L18,,21.54,20.39,18.66,DECaLS,Sloan,44.9811,1.1387,True
62,A,62,DESI-046.7690-06.4805,DC,4.0,0,0.33,,0.48,0.105,L18,,22.11,20.7,19.8,DECaLS,Sloan,46.769,-6.4805,True
63,A,63,DESI-047.1434-32.9919,REX,3.5,1,0.22,,0.5,0.091,shielded,,20.7,19.76,19.24,DECaLS,Sloan,47.1434,-32.9919,True
64,A,64,DESI-049.8264+02.0934,REX,3.5,1,0.9,0.3189,,,shielded,,22.33,20.35,19.37,DECaLS,Sloan,49.8264,2.0934,True
65,A,65,DESI-051.8321-21.6081,REX,3.5,1,0.16,,0.502,0.201,L18,,19.43,18.0,16.69,DECaLS,Sloan,51.8321,-21.6081,True
66,A,66,DESI-053.6254-13.1866,DC,4.0,0,1.0,,0.362,0.01,L18,,19.51,17.72,16.79,DECaLS,Sloan,53.6254,-13.1866,True
67,A,67,DESI-055.0891-25.5584,DC,3.5,1,1.0,,0.667,0.047,L18,d,21.94,20.17,18.7,DECaLS,Sloan,55.0891,-25.5584,True
68,A,68,DESI-055.7976-28.4777,DC,4.0,0,1.0,,0.447,0.049,L18,,20.93,19.27,18.38,DECaLS,Sloan,55.7976,-28.4777,True
69,A,69,DESI-057.2074-10.2962,DC,4.0,0,1.0,,0.745,0.075,L18,,21.97,20.33,18.65,DECaLS,Sloan,57.2074,-10.2962,True
70,A,70,DESI-057.9070-07.8706,DC,3.5,1,1.0,,0.677,0.051,L18,,21.98,20.28,18.72,DECaLS,Sloan,57.907,-7.8706,True
71,A,71,DESI-058.6486-30.5959,DC,4.0,0,0.12,,0.173,0.021,L18,,16.63,15.5,14.74,DECaLS,Sloan,58.6486,-30.5959,True
72,A,72,DESI-058.7926-18.5262,DC,4.0,0,1.0,,0.282,0.011,L18,,18.3,16.76,15.93,DECaLS,Sloan,58.7926,-18.5262,True
73,A,73,DESI-060.5238-22.0990,DC,4.0,0,1.0,,0.367,0.051,L18,d,21.11,19.32,18.25,DECaLS,Sloan,60.5238,-22.099,True
74,A,74,DESI-060.7613-21.3645,REX,3.5,1,0.28,,0.455,0.1,shielded,,20.19,19.34,18.83,DECaLS,Sloan,60.7613,-21.3645,True
75,A,75,DESI-060.9953-26.0348,REX,3.5,1,0.8,,0.289,0.083,shielded,,20.63,19.74,19.12,DECaLS,Sloan,60.9953,-26.0348,True
76,A,76,DESI-063.0145-18.9874,REX,3.5,1,0.18,,0.572,0.073,shielded,,22.06,20.27,19.3,DECaLS,Sloan,63.0145,-18.9874,True
77,A,77,DESI-064.8536-25.2248,DC,4.0,0,0.98,,0.36,0.012,L18,,19.51,17.72,16.82,DECaLS,Sloan,64.8536,-25.2248,True
78,A,78,DESI-065.6447-28.0652,DC,4.0,0,0.53,,0.641,0.036,L18,,21.63,19.81,18.31,DECaLS,Sloan,65.6447,-28.0652,True
79,A,79,DESI-066.1601-07.6524,REX,4.0,0,0.79,,0.278,0.049,shielded,,21.62,20.45,19.71,DECaLS,Sloan,66.1601,-7.6524,True
80,A,80,DESI-066.3798-37.7174,REX,3.5,1,0.23,,0.29,0.041,shielded,,20.79,19.16,18.32,DECaLS,Sloan,66.3798,-37.7174,True
81,A,81,DESI-067.4729-29.9597,DC,3.5,1,0.25,,0.716,0.015,L18,,21.85,19.86,18.16,DECaLS,Sloan,67.4729,-29.9597,True
82,A,82,DESI-069.0007-11.5477,DC,4.0,0,0.91,,0.425,0.033,L18,,20.02,18.22,17.14,DECaLS,Sloan,69.0007,-11.5477,True
83,A,83,DESI-070.1899-18.4737,DC,3.5,1,0.63,,0.526,0.01,L18,,21.12,19.15,17.91,DECaLS,Sloan,70.1899,-18.4737,True
84,A,84,DESI-070.1928-26.9754,DC,4.0,0,0.82,,0.5,0.011,L18,,20.6,18.67,17.5,DECaLS,Sloan,70.1928,-26.9754,True
85,A,85,DESI-070.4130-09.7774,DC,4.0,0,1.0,,0.437,0.036,L18,,21.92,20.18,19.19,DECaLS,Sloan,70.413,-9.7774,True
86,A,86,DESI-070.6171-09.1904,DC,3.5,1,0.55,,0.588,0.016,L18,,21.86,19.88,18.44,DECaLS,Sloan,70.6171,-9.1904,True
87,A,87,DESI-073.5286-10.2227,DC,3.5,1,0.89,,0.311,0.13,L18,,20.89,19.52,18.71,DECaLS,Sloan,73.5286,-10.2227,True
88,A,88,DESI-073.9030-25.5129,REX,4.0,0,0.51,,0.475,0.051,shielded,d,22.69,20.78,19.8,DECaLS,Sloan,73.903,-25.5129,True
89,A,89,DESI-074.9643-30.7236,DC,4.0,0,1.0,,0.431,0.017,L18,,20.45,18.62,17.61,DECaLS,Sloan,74.9643,-30.7236,True
90,A,90,DESI-075.2790-24.4179,DC,4.0,0,0.9,,0.289,0.106,L18,,20.7,19.29,18.47,DECaLS,Sloan,75.279,-24.4179,True
91,A,91,DESI-078.3561-30.8433,DC,4.0,0,0.63,,0.387,0.021,L18,,19.73,18.0,17.06,DECaLS,Sloan,78.3561,-30.8433,True
92,A,92,DESI-081.7547-18.9674,DC,4.0,0,1.0,,0.439,0.013,L18,,20.45,18.56,17.53,DECaLS,Sloan,81.7547,-18.9674,True
93,A,93,DESI-082.1548-26.5667,DC,4.0,0,1.0,,0.84,0.043,L18,,23.04,21.18,19.31,DECaLS,Sloan,82.1548,-26.5667,True
94,A,94,DESI-083.5074-25.3491,REX,3.5,1,0.94,,0.477,0.064,shielded,,20.88,19.07,18.04,DECaLS,Sloan,83.5074,-25.3491,True
95,A,95,DESI-086.3066-26.5884,DC,4.0,0,1.0,,0.448,0.083,L18,,21.27,19.87,19.1,DECaLS,Sloan,86.3066,-26.5884,True
96,A,96,DESI-087.1525-36.2427,REX,4.0,0,0.42,,0.305,0.036,L18,,18.33,16.77,15.92,DECaLS,Sloan,87.1525,-36.2427,True
97,A,97,DESI-090.9854-35.9683,REX,4.0,0,0.9,,0.529,0.115,L18,,22.97,20.92,19.76,DECaLS,Sloan,90.9854,-35.9683,True
98,A,98,DESI-094.5639+50.3059,DC,3.5,0,1.0,,0.522,0.02,L18,,21.29,19.54,18.24,MzLS,Sloan,94.5639,50.3059,False
99,A,99,DESI-102.2440+36.2021,DC,3.5,1,1.0,,0.659,0.047,L18,,21.7,20.27,18.78,MzLS,Sloan,102.244,36.2021,True
100,A,100,DESI-104.1909+38.7456,DC,4.0,0,1.0,0.4549,,,L18,,21.08,19.89,18.36,MzLS,Sloan,104.1909,38.7456,True
101,A,101,DESI-107.5775+40.1752,DC,4.0,0,1.0,0.2928,,,L18,,19.2,17.62,16.74,MzLS,Sloan,107.5775,40.1752,True
102,A,102,DESI-109.4199+46.4087,DC,3.5,1,0.9,,0.429,0.074,L18,a,19.11,17.43,16.3,MzLS,Sloan,109.4199,46.4087,True
103,A,103,DESI-109.9018+27.9032,DC,4.0,0,0.63,,0.533,0.016,L18,,21.04,19.2,17.97,DECaLS,Sloan,109.9018,27.9032,True
104,A,104,DESI-109.9255+57.3569,DC,4.0,0,0.21,,0.747,0.044,L18,,21.81,20.3,18.63,MzLS,Sloan,109.9255,57.3569,True
105,A,105,DESI-110.4891+49.8801,DC,4.0,0,0.16,,0.43,0.022,L18,,19.42,17.62,16.55,MzLS,Sloan,110.4891,49.8801,True
106,A,106,DESI-111.9670+30.2010,REX,3.5,1,0.23,0.1527,,,shielded,,22.45,20.64,19.73,DECaLS,Sloan,111.967,30.201,True
107,A,107,DESI-115.3417+37.4889,DC,3.5,1,0.96,0.6031,,,L18,,21.79,20.29,18.82,MzLS,Sloan,115.3417,37.4889,True
108,A,108,DESI-116.3092+33.6326,DC,3.5,1,0.33,0.5642,,,L18,,22.8,20.94,19.19,MzLS,Sloan,116.3092,33.6326,True
109,A,109,DESI-118.4491+20.9528,DC,4.0,0,0.99,0.5866,,,L18,,22.71,20.25,18.27,DECaLS,Sloan,118.4491,20.9528,True
110,A,110,DESI-118.8480+34.7610,DC,4.0,0,1.0,0.7224,,,L18,i,22.89,21.29,19.46,MzLS,Sloan,118.848,34.761,True
111,A,111,DESI-130.6476+30.3670,DC,3.5,1,0.33,0.5041,,,L18,,24.01,22.4,20.42,DECaLS,Sloan,130.6476,30.367,True
112,A,112,DESI-131.6362-01.9047,DC,3.5,1,1.0,0.5422,,,L18,e,22.25,20.62,18.74,DECaLS,Sloan,131.6362,-1.9047,True
113,A,113,DESI-134.3046+16.4322,DC,3.5,1,0.38,0.4441,,,L18,,20.86,19.03,17.95,DECaLS,Sloan,134.3046,16.4322,True
114,A,114,DESI-139.5922+61.1759,REX,3.5,1,0.29,,0.242,0.062,L18,,22.01,20.57,19.75,MzLS,Sloan,139.5922,61.1759,True
115,A,115,DESI-141.4491+37.3023,DC,3.5,1,0.65,0.5527,,,L18,,22.01,20.2,18.78,MzLS,Sloan,141.4491,37.3023,True
116,A,116,DESI-142.0189+20.5292,DC,3.5,1,0.2,,0.198,0.006,L18,,16.92,15.62,14.82,DECaLS,Sloan,142.0189,20.5292,True
117,A,117,DESI-142.9212-06.7297,REX,4.0,0,0.1,,0.264,0.032,L18,,20.31,19.01,18.25,DECaLS,Sloan,142.9212,-6.7297,True
118,A,118,DESI-147.9185+07.5090,DC,4.0,0,0.15,0.3527,,,L18,,20.27,18.63,17.74,DECaLS,Sloan,147.9185,7.509,True
119,A,119,DESI-148.1676+34.5795,DC,4.0,0,0.5,0.3963,,,shielded,h,20.54,18.82,17.94,MzLS,Sloan,148.1676,34.5795,True
120,A,120,DESI-151.1424+41.2121,DC,4.0,0,0.3,0.5934,,,L18,c,21.03,19.29,17.76,MzLS,Sloan,151.1424,41.2121,True
121,A,121,DESI-151.2154-00.5291,REX,3.5,1,1.0,0.6335,,,shielded,,21.01,19.85,18.57,DECaLS,Sloan,151.2154,-0.5291,True
122,A,122,DESI-151.7182-07.9276,DC,4.0,0,0.99,,0.569,0.025,L18,,21.34,19.45,18.13,DECaLS,Sloan,151.7182,-7.9276,True
123,A,123,DESI-153.7269+44.2610,REX,3.5,1,0.54,0.2971,,,shielded,,20.07,18.55,17.7,MzLS,Sloan,153.7269,44.261,True
124,A,124,DESI-153.7937+32.5308,DC,4.0,0,0.08,,0.243,0.147,L18,,19.81,18.21,17.37,MzLS,Sloan,153.7937,32.5308,True
125,A,125,DESI-156.8137+11.8314,REX,3.5,1,0.28,0.28,,,shielded,,19.83,18.66,17.93,DECaLS,Sloan,156.8137,11.8314,True
126,A,126,DESI-157.4222+20.4043,DC,3.5,1,0.43,,0.946,0.324,shielded,,24.05,22.23,19.72,DECaLS,Sloan,157.4222,20.4043,True
127,A,127,DESI-157.6135-06.6858,DC,4.0,0,1.0,,0.463,0.029,L18,,20.48,18.68,17.59,DECaLS,Sloan,157.6135,-6.6858,True
128,A,128,DESI-160.1716+18.8477,DC,4.0,0,0.35,,0.358,0.039,L18,,19.13,17.54,16.65,DECaLS,Sloan,160.1716,18.8477,True
129,A,129,DESI-161.1159+31.2337,DC,4.0,0,0.83,0.5291,,,L18,,22.85,20.98,19.4,DECaLS,Sloan,161.1159,31.2337,True
130,A,130,DESI-161.4114-08.8359,DC,3.5,1,0.98,,0.813,0.15,L18,,22.07,20.94,19.29,DECaLS,Sloan,161.4114,-8.8359,True
131,A,131,DESI-162.3475+35.7447,DC,3.5,1,0.29,0.2603,,,L18,,19.18,17.52,16.6,MzLS,Sloan,162.3475,35.7447,True
132,A,132,DESI-164.9800+42.8595,REX,4.0,0,0.29,,0.817,0.036,shielded,,23.76,21.91,19.97,MzLS,Sloan,164.98,42.8595,True
133,A,133,DESI-166.9974+04.1560,DC,3.5,1,0.67,0.3359,,,L18,,18.86,17.12,16.18,DECaLS,Sloan,166.9974,4.156,True
134,A,134,DESI-168.7683+16.7607,DC,4.0,0,0.96,0.6197,,,L18,,21.31,19.39,18.17,DECaLS,Sloan,168.7683,16.7607,True
135,A,135,DESI-169.2414+14.7197,DC,3.5,1,0.47,0.5424,,,shielded,,21.8,19.95,18.42,DECaLS,Sloan,169.2414,14.7197,True
136,A,136,DESI-169.9718+14.7456,REX,4.0,0,0.16,0.1967,,,shielded,,20.41,19.35,18.65,DECaLS,Sloan,169.9718,14.7456,True
137,A,137,DESI-173.3049+50.1444,DC,4.0,0,0.92,0.2426,,,L18,,18.8,17.33,16.36,MzLS,Sloan,173.3049,50.1444,True
138,A,138,DESI-174.5481+14.7863,DC,3.5,1,0.96,0.5457,,,L18,,21.6,19.87,18.61,DECaLS,Sloan,174.5481,14.7863,True
139,A,139,DESI-175.0410+22.8792,DC,3.5,1,0.99,0.5426,,,L18,,21.16,19.43,18.13,DECaLS,Sloan,175.041,22.8792,True
140,A,140,DESI-175.4961+19.3041,REX,4.0,0,1.0,0.5425,,,L18,,21.12,19.86,18.87,DECaLS,Sloan,175.4961,19.3041,True
141,A,141,DESI-176.0987+17.7551,DC,3.5,1,0.49,0.5273,,,L18,,21.19,19.28,18.01,DECaLS,Sloan,176.0987,17.7551,True
142,A,142,DESI-178.0775+08.8170,DC,4.0,0,1.0,0.3244,,,L18,,20.33,18.75,17.88,DECaLS,Sloan,178.0775,8.817,True
143,A,143,DESI-179.0228+19.1869,DC,4.0,0,1.0,0.5689,,,L18,,21.23,19.36,18.1,DECaLS,Sloan,179.0228,19.1869,True
144,A,144,DESI-179.5632-06.6056,DC,3.5,1,0.75,,0.43,0.014,L18,,20.58,18.77,17.79,DECaLS,Sloan,179.5632,-6.6056,True
145,A,145,DESI-179.8326+61.7939,DC,3.5,1,0.99,0.3393,,,L18,,20.5,18.84,17.88,MzLS,Sloan,179.8326,61.7939,True
146,A,146,DESI-180.2708-02.3681,REX,3.5,1,0.93,0.3667,,,shielded,,21.02,19.28,18.39,DECaLS,Sloan,180.2708,-2.3681,True
147,A,147,DESI-181.9031+52.9176,DC,4.0,0,1.0,0.3428,,,L18,,19.59,18.03,17.17,MzLS,Sloan,181.9031,52.9176,True
148,A,148,DESI-183.0792+27.5646,REX,4.0,0,0.44,0.3364,,,shielded,,22.17,20.57,19.71,DECaLS,Sloan,183.0792,27.5646,True
149,A,149,DESI-186.8276-07.1227,REX,3.5,1,1.0,,0.617,0.126,shielded,,20.88,20.01,18.96,DECaLS,Sloan,186.8276,-7.1227,True
150,A,150,DESI-187.2782+59.1413,DC,3.5,1,0.98,0.5802,,,L18,,21.84,20.25,18.83,MzLS,Sloan,187.2782,59.1413,True
151,A,151,DESI-188.2155+27.0359,DC,3.5,1,1.0,0.5566,,,L18,,21.19,19.89,18.91,DECaLS,Sloan,188.2155,27.0359,True
152,A,152,DESI-189.4008+55.5619,DC,4.0,0,1.0,0.4279,,,L18,,20.2,18.45,17.51,MzLS,Sloan,189.4008,55.5619,True
153,A,153,DESI-189.9885+12.6693,DC,3.5,1,0.16,0.2183,,,L18,,19.1,17.79,17.03,DECaLS,Sloan,189.9885,12.6693,True
154,A,154,DESI-190.1345+45.1508,DC,4.0,0,1.0,0.2256,,,L18,,19.56,18.24,17.41,MzLS,Sloan,190.1345,45.1508,True
155,A,155,DESI-190.6911+75.8730,REX,3.5,1,0.87,,0.424,0.031,shielded,,22.39,20.57,19.63,MzLS,Sloan,190.6911,75.873,True
156,A,156,DESI-190.7929+21.3329,DC,3.5,1,0.99,0.3106,,,L18,,20.07,18.34,17.45,DECaLS,Sloan,190.7929,21.3329,True
157,A,157,DESI-191.2226+04.2210,DC,3.5,1,0.83,0.326,,,L18,e,19.86,18.22,17.37,DECaLS,Sloan,191.2226,4.221,True
158,A,158,DESI-192.4699+03.1592,DC,3.5,1,1.0,0.3202,,,L18,,20.16,18.5,17.61,DECaLS,Sloan,192.4699,3.1592,True
159,A,159,DESI-192.9428+01.7155,DC,4.0,0,0.31,0.673,,,L18,,22.22,20.16,18.47,DECaLS,Sloan,192.9428,1.7155,True
160,A,160,DESI-196.4575+22.9256,DC,4.0,0,1.0,0.2677,,,L18,,20.18,18.59,17.69,DECaLS,Sloan,196.4575,22.9256,True
161,A,161,DESI-197.5704+14.7474,REX,4.0,0,0.14,0.2943,,,shielded,,20.72,19.13,18.29,DECaLS,Sloan,197.5704,14.7474,True
162,A,162,DESI-200.7252+58.1651,DC,4.0,0,0.68,0.2229,,,L18,,18.44,17.2,16.46,MzLS,Sloan,200.7252,58.1651,True
163,A,163,DESI-200.7678+03.7216,DC,4.0,0,0.34,,0.896,0.078,shielded,,23.22,21.28,19.38,DECaLS,Sloan,200.7678,3.7216,True
164,A,164,DESI-205.1910+38.5483,DC,3.5,1,0.96,0.6334,,,L18,,22.11,20.44,18.79,MzLS,Sloan,205.191,38.5483,True
165,A,165,DESI-211.6718+08.7580,REX,3.5,1,0.38,0.1857,,,shielded,,23.49,21.65,19.8,DECaLS,Sloan,211.6718,8.758,True
166,A,166,DESI-211.9734-00.4713,REX,3.5,1,0.15,0.481,,,L18,l,20.73,18.93,17.85,DECaLS,Sloan,211.9734,-0.4713,True
167,A,167,DESI-214.3545+76.2152,REX,4.0,0,0.28,,0.343,0.386,shielded,,20.63,19.93,19.66,MzLS,Sloan,214.3545,76.2152,True
168,A,168,DESI-218.2479-07.2268,DC,3.5,1,1.0,,0.352,0.043,L18,,19.23,17.54,16.63,DECaLS,Sloan,218.2479,-7.2268,True
169,A,169,DESI-218.3457+60.1209,DC,3.5,1,1.0,,0.408,0.072,L18,,20.89,19.48,18.67,MzLS,Sloan,218.3457,60.1209,True
170,A,170,DESI-218.4715+14.0687,DC,3.5,1,1.0,0.5512,,,L18,,22.87,21.22,19.91,DECaLS,Sloan,218.4715,14.0687,True
171,A,171,DESI-220.4549+14.6891,DC,4.0,0,1.0,0.6149,,,L18,,22.4,20.53,18.74,DECaLS,Sloan,220.4549,14.6891,True
