name,ra,dec,grade_truth,euclid_id,known,catalog,region
s_166673_9028,51.7071102768711,-29.712458044330116,B,102042282_NEG517070963297124785,False,d4_edf,edf_fs
s_170450_10871,54.480544262600205,-28.954893590470718,A,102042918_NEG544805259289548872,False,d4_edf,edf_fs
s_88015_3485,65.12462249475962,-47.30863033570817,A,102021990_NEG651246796473086761,False,d4_edf,edf_fs
s_180619_673,51.24226041683028,-27.022161350523213,B,102045464_NEG512422645270221464,False,d4_edf,edf_fs
s_179347_3449,54.290997715597335,-27.26963982780109,B,102044827_NEG542909292272696454,False,d4_edf,edf_fs
s_81263_3869,60.49291164951947,-48.906655837059816,B,102020534_NEG604929086489066527,False,d4_edf,edf_fs
s_178058_7438,51.963331005278185,-27.4259503726784,A,102044823_NEG519633334274259646,False,d4_edf,edf_fs
s_75669_8978,60.89289232870243,-50.47790570016173,A,102019128_NEG608928997504779012,False,d4_edf,edf_fs
s_79385_1743,62.61565312601437,-49.468211776487976,B,102020063_NEG626156743494681651,False,d4_edf,edf_fs
s_90964_6783,61.789091914453955,-46.6103597913261,A,102022975_NEG617890913466103850,False,d4_edf,edf_fs
s_75664_6939,58.95968778982637,-50.53401587090643,B,102019126_NEG589597149505340169,False,d4_edf,edf_fs
s_82216_4230,62.164516435343,-48.8224042631699,A,102020536_NEG621645331488224037,False,d4_edf,edf_fs
s_83168_2607,61.693265590680994,-48.43014336424919,B,102021015_NEG616932997484302318,False,d4_edf,edf_fs
s_88996_2557,65.07061675488745,-47.060106356840905,B,102022483_NEG650705793470600869,False,d4_edf,edf_fs
s_172977_10944,54.4735455764673,-28.550304956611868,B,102043551_NEG544735665285502399,False,d4_edf,edf_fs
s_78442_6482,59.5972483851244,-49.63546019457937,A,102020059_NEG595972740496354540,False,d4_edf,edf_fs
s_171714_3810,54.77564788769676,-28.66445527056824,A,102043552_NEG547756940286644821,False,d4_edf,edf_fs
s_87998_9100,59.026640166353125,-47.15568166177908,A,102022474_NEG590266584471556814,False,d4_edf,edf_fs
s_165427_7342,52.92099335016014,-29.910010902086437,A,102041657_NEG529209996299100136,False,d4_edf,edf_fs
s_88990_5718,63.016019200153636,-47.01934961184732,B,102022480_NEG630160205470193218,False,d4_edf,edf_fs
s_81263_3523,60.483650482206954,-49.066921720835374,A,102020534_NEG604836154490669092,False,d4_edf,edf_fs
s_167935_8040,54.37270308505733,-29.384780811128312,B,102042287_NEG543727111293847771,False,d4_edf,edf_fs
s_81255_6654,57.53363807260697,-48.96806228120788,B,102020530_NEG575336420489680805,False,d4_edf,edf_fs
s_174235_10382,51.57877584031478,-28.189750611598974,A,102044183_NEG515787441281897369,False,d4_edf,edf_fs
s_84125_13400,61.35527366416515,-48.27226927823855,B,102021014_NEG613552795482722691,False,d4_edf,edf_fs
