rank,name,ra,dec,grade_pred,p_lens,p_meta,stage1_contaminant
34,s_34114_11363,353.7467998540502,-64.06865955513288,B,0.58,0.8973374,
35,s_102952_10164,334.8016949083366,-43.80978581151804,B,0.58,0.84583676,
36,s_191004_9637,56.93561710161365,-24.90876166975616,B,0.58,0.8802883,
37,s_43736_6056,67.3944736474896,-60.19054508469584,B,0.58,0.8273421,
38,s_137518_1133,31.35876681240539,-35.66317638998012,B,0.58,0.83911484,
39,s_129372_3768,16.450386766687533,-37.428555682962205,B,0.58,0.82447106,
40,s_98882_7820,1.6859793252676891,-44.4973805418235,B,0.58,0.8012334,
41,s_218735_721,350.2028156615544,-20.049748394694305,B,0.58,0.7897465,
42,s_360639_3636,13.486755221242012,5.35899775248115,B,0.55,0.85177743,
43,s_381188_1199,144.15106462293943,8.863258333875267,B,0.55,0.89514554,
44,s_114736_1046,343.5127306827532,-40.9303302399524,B,0.55,0.8603035,
45,s_87091_1800,84.51931234256244,-47.58717290384825,B,0.55,0.89222705,
46,s_327710_4950,55.66491418238629,-0.3820174180780979,B,0.55,0.74217856,
47,s_289350_3716,164.80512442449222,-7.144863212385505,B,0.55,0.8087212,
48,s_384032_2232,143.3887173226898,9.321944732757943,B,0.55,0.8384396,
49,s_73683_6069,357.37534117117247,-51.22755237913434,B,0.55,0.83485305,
50,s_80200_6872,15.49186920062577,-49.29395006812568,B,0.55,0.87670356,
51,s_58263_3751,42.71791874109645,-55.40324792259129,B,0.55,0.87635094,
52,s_491286_1438,180.36161110771,29.01164003094359,B,0.52,0.7376262,
53,s_164140_7181,41.20602009272879,-30.32135002208484,B,0.5,0.7940704,merger
54,s_71871_246,353.9664170561714,-51.87163259898146,B,0.5,0.7643324,
55,s_61626_1035,65.17823590434007,-54.37701454964448,B,0.5,0.8712406,
56,s_262449_2840,188.7860896366913,-11.979775852724414,B,0.5,0.8742251,
57,s_107312_5223,23.845101861615813,-42.53980516963502,B,0.5,0.8475064,merger
58,s_90920_9419,45.95171924302469,-46.440728666768926,B,0.5,0.8458092,
59,s_217461_3974,12.04505045424496,-19.920559907341698,B,0.5,0.7786491,
60,s_260341_325,9.97977687915724,-12.209696759270388,B,0.5,0.83574134,
61,s_207576_2272,248.11950749900464,-22.035472883151403,B,0.48,0.75983554,
62,s_162970_1777,62.55542711441421,-30.62383339683217,B,0.48,0.81795996,
63,s_234043_6467,58.44268218989208,-17.110912007812072,B,0.47,0.87743473,
64,s_283917_2408,235.62000732679653,-8.348999486950179,B,0.45,0.8861301,
65,s_50907_11900,303.5807909933724,-57.95044822400671,B,0.45,0.74350506,
66,s_61411_4481,332.9866042795168,-54.644473071150585,B,0.45,0.76354605,
67,s_165468_9648,64.7771296596075,-29.99369776904312,B,0.45,0.7833565,
68,s_148704_6732,183.81764972463412,-33.60056079340128,B,0.45,0.79991186,
69,s_280264_9147,33.105098908179016,-8.86969872224337,B,0.45,0.8380281,
70,s_266046_1185,25.99894971445208,-11.276996814290989,B,0.45,0.75905156,
71,s_251013_4202,137.4230046041362,-13.960057670584687,B,0.45,0.789037,
72,s_52008_8091,96.59633862370536,-57.50834804911375,B,0.45,0.88923925,lrg_companion
73,s_209853_1103,139.80534312884723,-21.46042217709545,B,0.45,0.84583676,
74,s_504880_4027,152.07629790922485,31.70046715146184,B,0.45,0.8415484,merger
75,s_181762_9592,11.434716056365142,-26.62941348103229,B,0.45,0.8608387,
76,s_69087_268,307.23246726977163,-52.52180166068507,B,0.43,0.81336004,
77,s_256199_9097,29.68192584216909,-13.02584833388891,B,0.42,0.77897215,
78,s_36700_530,347.9904481204408,-63.1175682464898,B,0.42,0.77746034,merger
79,s_23764_4161,132.66029800950346,-68.18755879862104,B,0.42,0.7905135,
80,s_29019_24056,248.9429712334505,-66.07467549319388,B,0.42,0.7448226,
81,s_204169_8722,49.16182888675282,-22.60926947526667,B,0.42,0.769545,lrg_companion
82,s_112158_2867,209.6741235522384,-41.49321400642417,B,0.42,0.82728755,
83,s_139825_11098,18.92258942377811,-35.338619133715824,B,0.42,0.76142865,
84,s_60524_3113,309.7973291871272,-54.995227327413815,B,0.42,0.81254804,
85,s_38835_314,56.65429950531325,-61.97923212390111,B,0.42,0.83944273,
86,s_405220_1292,136.46547709100523,13.030706224539111,B,0.42,0.8917687,
87,s_68464_11443,52.73725708937869,-52.47026316493762,B,0.42,0.87911594,
88,s_206743_10995,24.211966857737124,-22.007617835743865,B,0.42,0.8477204,
89,s_41562_4180,42.24015918553729,-60.900970105655006,B,0.4,0.86542666,lrg_companion
90,s_188312_3322,33.25368582011379,-25.394532233198607,B,0.4,0.7582407,
91,s_120781_3317,156.8524737081635,-39.60929216513198,B,0.4,0.8283083,
92,s_266620_918,172.13197134835713,-11.31084358192752,B,0.4,0.80081517,
93,s_410935_2097,164.12043906853722,14.060582993177771,B,0.38,0.8317151,
94,s_32666_26056,248.60898562228144,-64.55694103370085,B,0.38,0.7345369,
95,s_244220_4253,184.30418527803408,-15.26100806720478,B,0.38,0.7959916,lrg_companion
96,s_119499_8020,101.80932832266475,-39.83593745753072,B,0.38,0.7528434,
97,s_156771_3446,54.32192990763855,-31.870439304358044,B,0.38,0.8867673,
98,s_205319_6061,359.97718797355617,-22.45956442770188,B,0.38,0.88093895,
99,s_416616_6090,189.5370169490573,15.030894368635751,B,0.38,0.92760956,
100,s_364281_4525,207.313334136202,5.630785464469515,B,0.35,0.8961677,
101,s_250611_2161,33.78978210436381,-14.118543118058865,B,0.35,0.76763797,
102,s_212207_5081,50.65971447622222,-20.95673434736605,B,0.35,0.8444437,merger
103,s_128091_3374,332.63550821634374,-37.92626359802329,B,0.35,0.85091954,
104,s_194944_4494,59.20445257843653,-24.14472085204786,B,0.35,0.84599406,
105,s_94861_9433,21.97164079601136,-45.54276220530482,B,0.32,0.8690802,
106,s_235253_4230,14.44524450785661,-16.745722284259614,B,0.32,0.7580429,
107,s_394431_6727,261.7636774581504,11.002099352408676,B,0.3,0.7729804,
108,s_369977_4434,198.51735015897168,6.688696503693574,B,0.28,0.7482004,
