candidate_id,ra_deg,dec_deg,proposal,field_class,layout,mag_r,sw_obs,lw_obs,sw_filter,lw_filter,nearest_cat_sep_arcsec,half
J14973171+212434,149.7317124269093,2.124336016073532,1727,cosmos,color,19.968718,jw01727-o115_t007_nircam_clear-f150w,jw01727-o115_t007_nircam_clear-f277w,F150W,F277W,42.496,design
J14973252+195282,149.7325231049708,1.95281706224445,1727,cosmos,color,20.32782,jw01727-o118_t016_nircam_clear-f150w,jw01727-o118_t016_nircam_clear-f277w,F150W,F277W,72.145,holdout
J14975814+219076,149.7581442572968,2.190761411431744,1727,cosmos,color,17.263767,jw01727-o078_t006_nircam_clear-f150w,jw01727-o078_t006_nircam_clear-f277w,F150W,F277W,24.945,holdout
J14976245+218007,149.7624452656261,2.180071692986532,1727,cosmos,color,20.019386,jw01727-o078_t006_nircam_clear-f150w,jw01727-o078_t006_nircam_clear-f277w,F150W,F277W,40.079,design
J14977611+214060,149.7761098531749,2.140603238921176,1727,cosmos,color,19.956602,jw01727-o080_t014_nircam_clear-f150w,jw01727-o080_t014_nircam_clear-f277w,F150W,F277W,94.664,holdout
J14978855+213196,149.78855209902,2.131964923158809,1727,cosmos,color,19.86508,jw01727-o080_t014_nircam_clear-f150w,jw01727-o080_t014_nircam_clear-f277w,F150W,F277W,43.589,design
J14981112+225248,149.8111249628898,2.25248139462584,1727,cosmos,color,19.182505,jw01727-o079_t013_nircam_clear-f150w,jw01727-o079_t013_nircam_clear-f277w,F150W,F277W,70.958,design
J14981361+225470,149.8136095510436,2.254704704502855,1727,cosmos,color,20.388775,jw01727-o079_t013_nircam_clear-f150w,jw01727-o079_t013_nircam_clear-f277w,F150W,F277W,79.998,holdout
J1498187+2816303,14.9818681551572,28.16303094919299,6434,blank,color,18.624023,jw06434-c1103_t000_nircam_clear-f200w,jw06434-c1103_t000_nircam_clear-f356w,F200W,F356W,4518.976,holdout
J14981885+216231,149.8188477724439,2.162313205848541,1727,cosmos,color,18.41427,jw01727-o167_t022_nircam_clear-f150w,jw01727-o154_t022_nircam_clear-f277w,F150W,F277W,86.243,design
J14982608+213517,149.8260825551721,2.135172310639601,1727,cosmos,color,18.086842,jw01727-o167_t022_nircam_clear-f150w,jw01727-o154_t022_nircam_clear-f277w,F150W,F277W,89.445,holdout
J14982665+197229,149.8266473108643,1.972285059815104,1727,cosmos,color,20.710148,jw01727-o124_t040_nircam_clear-f150w,jw01727-o124_t040_nircam_clear-f277w,F150W,F277W,40.575,holdout
J14983520+227535,149.8351994381726,2.275351490452039,1727,cosmos,color,19.750208,jw01727-o079_t013_nircam_clear-f150w,jw01727-o079_t013_nircam_clear-f277w,F150W,F277W,40.844,design
J14983878+193009,149.8387757258655,1.930088564541005,1727,cosmos,color,20.201519,jw01727-o124_t040_nircam_clear-f150w,jw01727-o124_t040_nircam_clear-f277w,F150W,F277W,104.237,holdout
J14984085+216705,149.8408522608635,2.167045080984421,1727,cosmos,color,20.200027,jw01727-o167_t022_nircam_clear-f150w,jw01727-o154_t022_nircam_clear-f277w,F150W,F277W,78.509,holdout
J14984240+230058,149.8423987719129,2.300581463980873,1727,cosmos,color,18.167583,jw01727-o079_t013_nircam_clear-f150w,jw01727-o079_t013_nircam_clear-f277w,F150W,F277W,10.084,holdout
J14984340+214760,149.8434026291868,2.147604256749717,1727,cosmos,color,19.287003,jw01727-o167_t022_nircam_clear-f150w,jw01727-o154_t022_nircam_clear-f277w,F150W,F277W,34.232,holdout
J14984710+228738,149.8471005989674,2.287377687600501,1727,cosmos,color,20.233942,jw01727-o079_t013_nircam_clear-f150w,jw01727-o079_t013_nircam_clear-f277w,F150W,F277W,42.304,design
J14984732+220417,149.8473191901302,2.204168640761027,1727,cosmos,color,19.676783,jw01727-o167_t022_nircam_clear-f150w,jw01727-o154_t022_nircam_clear-f277w,F150W,F277W,90.754,design
J14985077+226112,149.8507676102732,2.261121567991752,1727,cosmos,color,20.518845,jw01727-o081_t021_nircam_clear-f150w,jw01727-o081_t021_nircam_clear-f277w,F150W,F277W,53.631,holdout
J14985991+214875,149.8599081362148,2.148750209869094,1727,cosmos,color,17.460266,jw01727-o084_t030_nircam_clear-f150w,jw01727-o084_t030_nircam_clear-f277w,F150W,F277W,25.394,design
J14986666+227442,149.8666553880481,2.274415337738866,1727,cosmos,color,19.132954,jw01727-o081_t021_nircam_clear-f150w,jw01727-o081_t021_nircam_clear-f277w,F150W,F277W,69.471,holdout
J14986686+205175,149.8668582414039,2.051750210838554,1727,cosmos,color,20.35671,jw01727-o123_t039_nircam_clear-f150w,jw01727-o123_t039_nircam_clear-f277w,F150W,F277W,15.78,design
J14987021+233510,149.8702105163908,2.335099139871736,1727,cosmos,color,20.131172,jw01727-o042_t012_nircam_clear-f150w,jw01727-o042_t012_nircam_clear-f277w,F150W,F277W,33.886,design
J14987287+226147,149.8728711907963,2.261467091134952,1727,cosmos,color,19.552795,jw01727-o081_t021_nircam_clear-f150w,jw01727-o081_t021_nircam_clear-f277w,F150W,F277W,104.915,design
J14987321+252754,149.8732143048148,2.527539589303911,1727,cosmos,color,19.982359,jw01727-o158_t002_nircam_clear-f150w,jw01727-o158_t002_nircam_clear-f277w,F150W,F277W,82.098,holdout
J14988080+222858,149.8808002427615,2.228579699375302,1727,cosmos,color,20.236343,jw01727-o155_t029_nircam_clear-f150w,jw01727-o157_t029_nircam_clear-f277w,F150W,F277W,21.586,holdout
J14988264+244832,149.882637074026,2.44831819429719,1727,cosmos,color,18.229279,jw01727-o041_t011_nircam_clear-f150w,jw01727-o041_t011_nircam_clear-f277w,F150W,F277W,90.742,design
J14988278+213247,149.882775133458,2.132469564755038,1727,cosmos,color,20.377872,jw01727-o086_t038_nircam_clear-f150w,jw01727-o086_t038_nircam_clear-f277w,F150W,F277W,41.686,holdout
J14990021+189664,149.9002100673891,1.896643143694443,1727,cosmos,color,16.745296,jw01727-o128_t056_nircam_clear-f150w,jw01727-o128_t056_nircam_clear-f277w,F150W,F277W,104.639,holdout
J14990055+189878,149.9005524096822,1.898782731433911,1727,cosmos,color,20.131657,jw01727-o128_t056_nircam_clear-f150w,jw01727-o128_t056_nircam_clear-f277w,F150W,F277W,106.115,holdout
J14990337+243896,149.9033701883425,2.438960300223301,1727,cosmos,color,20.054544,jw01727-o041_t011_nircam_clear-f150w,jw01727-o041_t011_nircam_clear-f277w,F150W,F277W,64.135,holdout
J14990528+219896,149.9052791424438,2.198958279416955,1727,cosmos,color,20.352062,jw01727-o085_t037_nircam_clear-f150w,jw01727-o085_t037_nircam_clear-f277w,F150W,F277W,86.043,holdout
J14990594+244729,149.9059373458015,2.447293821540228,1727,cosmos,color,19.878748,jw01727-o041_t011_nircam_clear-f150w,jw01727-o041_t011_nircam_clear-f277w,F150W,F277W,53.97,holdout
J14991009+190700,149.9100887120301,1.907004666104146,1727,cosmos,color,20.91652,jw01727-o128_t056_nircam_clear-f150w,jw01727-o128_t056_nircam_clear-f277w,F150W,F277W,132.512,holdout
J14991013+214969,149.9101256505312,2.149687195870414,1727,cosmos,color,18.456802,jw01727-o086_t038_nircam_clear-f150w,jw01727-o086_t038_nircam_clear-f277w,F150W,F277W,77.132,design
J14991344+235137,149.9134404406213,2.351369095419455,1727,cosmos,color,20.559464,jw01727-o044_t020_nircam_clear-f150w,jw01727-o044_t020_nircam_clear-f277w,F150W,F277W,35.924,design
J14991450+209996,149.9145002245963,2.099958115660124,1727,cosmos,color,19.823774,jw01727-o088_t046_nircam_clear-f150w,jw01727-o088_t046_nircam_clear-f277w,F150W,F277W,37.382,design
J14992085+203121,149.9208547697883,2.031205195726554,1727,cosmos,color,19.271902,jw01727-o127_t055_nircam_clear-f150w,jw01727-o127_t055_nircam_clear-f277w,F150W,F277W,68.355,design
J14993830+257757,149.9382962664086,2.577569704538573,1727,cosmos,color,17.04935,jw01727-o004_t010_nircam_clear-f150w,jw01727-o004_t010_nircam_clear-f277w,F150W,F277W,38.864,holdout
J14993908+263097,149.9390778302564,2.630971910857665,1727,cosmos,color,19.938797,jw01727-o001_t001_nircam_clear-f150w,jw01727-o001_t001_nircam_clear-f277w,F150W,F277W,35.792,holdout
J14994298+260066,149.9429765832136,2.600663364316361,1727,cosmos,color,19.395145,jw01727-o003_t009_nircam_clear-f150w,jw01727-o003_t009_nircam_clear-f277w,F150W,F277W,27.018,holdout
J14994519+248568,149.9451941899308,2.485675316221953,1727,cosmos,color,20.594738,jw01727-o006_t018_nircam_clear-f150w,jw01727-o006_t018_nircam_clear-f277w,F150W,F277W,23.485,design
J14994839+193216,149.9483946518299,1.932157960836161,1727,cosmos,color,19.559334,jw01727-o130_t064_nircam_clear-f150w,jw01727-o130_t064_nircam_clear-f277w,F150W,F277W,19.432,design
J14995663+224591,149.9566343082401,2.24590589644762,1727,cosmos,color,20.793348,jw01727-o085_t037_nircam_clear-f150w,jw01727-o085_t037_nircam_clear-f277w,F150W,F277W,56.173,holdout
J14996767+261863,149.9676686594262,2.618633380698035,1727,cosmos,color,19.354433,jw01727-o003_t009_nircam_clear-f150w,jw01727-o003_t009_nircam_clear-f277w,F150W,F277W,17.416,holdout
J14996770+209525,149.9676992902101,2.095254911893142,1727,cosmos,color,20.141426,jw01727-o090_t054_nircam_clear-f150w,jw01727-o090_t054_nircam_clear-f277w,F150W,F277W,36.628,holdout
J14997011+229135,149.9701097915699,2.291345119382942,1727,cosmos,color,19.529072,jw01727-o048_t036_nircam_clear-f150w,jw01727-o048_t036_nircam_clear-f277w,F150W,F277W,40.717,design
J14997046+193062,149.9704614799516,1.93061513239809,1727,cosmos,color,19.667105,jw01727-o132_t072_nircam_clear-f150w,jw01727-o132_t072_nircam_clear-f277w,F150W,F277W,44.898,design
J14997157+259501,149.9715685929738,2.595009922355654,1727,cosmos,color,20.129238,jw01727-o005_t017_nircam_clear-f150w,jw01727-o005_t017_nircam_clear-f277w,F150W,F277W,62.372,holdout
J14997523+257803,149.9752341879716,2.578026560067999,1727,cosmos,color,18.211224,jw01727-o005_t017_nircam_clear-f150w,jw01727-o005_t017_nircam_clear-f277w,F150W,F277W,52.721,design
J14997784+264114,149.9778386792819,2.641144602356764,1727,cosmos,color,20.697487,jw01727-o003_t009_nircam_clear-f150w,jw01727-o003_t009_nircam_clear-f277w,F150W,F277W,52.556,design
J14997870+245651,149.9786981585218,2.456505610212961,1727,cosmos,color,18.987736,jw01727-o045_t027_nircam_clear-f150w,jw01727-o045_t027_nircam_clear-f277w,F150W,F277W,99.016,holdout
J14998627+241542,149.9862704887293,2.415417666660038,1727,cosmos,color,20.109814,jw01727-o047_t035_nircam_clear-f150w,jw01727-o047_t035_nircam_clear-f277w,F150W,F277W,44.398,design
J14998771+249559,149.9877127908761,2.49558537933852,1727,cosmos,color,20.219744,jw01727-o008_t026_nircam_clear-f150w,jw01727-o008_t026_nircam_clear-f277w,F150W,F277W,43.381,holdout
J14999361+225854,149.9936111580678,2.258543554949024,1727,cosmos,color,20.747782,jw01727-o050_t044_nircam_clear-f150w,jw01727-o050_t044_nircam_clear-f277w,F150W,F277W,56.607,design
J14999589+191290,149.995891236779,1.912902245350935,1727,cosmos,color,18.720016,jw01727-o134_t080_nircam_clear-f150w,jw01727-o134_t080_nircam_clear-f277w,F150W,F277W,64.845,holdout
J14999601+247326,149.9960076544223,2.473261539701591,1727,cosmos,color,18.71551,jw01727-o008_t026_nircam_clear-f150w,jw01727-o008_t026_nircam_clear-f277w,F150W,F277W,56.91,holdout
J14999665+259245,149.996652285886,2.59244631569015,1727,cosmos,color,19.015982,jw01727-o005_t017_nircam_clear-f150w,jw01727-o005_t017_nircam_clear-f277w,F150W,F277W,12.951,holdout
J14999692+249620,149.9969201013255,2.496201917703266,1727,cosmos,color,19.946537,jw01727-o008_t026_nircam_clear-f150w,jw01727-o008_t026_nircam_clear-f277w,F150W,F277W,62.92,design
J15000072+216107,150.0007233378562,2.161071245565164,1727,cosmos,color,20.588802,jw01727-o089_t053_nircam_clear-f150w,jw01727-o089_t053_nircam_clear-f277w,F150W,F277W,22.119,design
J15000086+191067,150.000857345158,1.910669395980312,1727,cosmos,color,20.692324,jw01727-o134_t080_nircam_clear-f150w,jw01727-o134_t080_nircam_clear-f277w,F150W,F277W,84.316,design
J15000331+240754,150.0033101311021,2.407535048876055,1727,cosmos,color,19.20595,jw01727-o047_t035_nircam_clear-f150w,jw01727-o047_t035_nircam_clear-f277w,F150W,F277W,59.88,design
J15000332+191727,150.0033198194514,1.917265644735639,1727,cosmos,color,18.48981,jw01727-o134_t080_nircam_clear-f150w,jw01727-o134_t080_nircam_clear-f277w,F150W,F277W,84.005,design
J15000432+225070,150.0043202120102,2.250700084791008,1727,cosmos,color,18.841412,jw01727-o162_t052_nircam_clear-f150w,jw01727-o162_t052_nircam_clear-f277w,F150W,F277W,9.04,holdout
J15000506+214101,150.0050564771688,2.141011606332023,1727,cosmos,color,20.780005,jw01727-o092_t062_nircam_clear-f150w,jw01727-o092_t062_nircam_clear-f277w,F150W,F277W,32.376,holdout
J15000891+230762,150.00890857019,2.307623297440623,1727,cosmos,color,20.208271,jw01727-o050_t044_nircam_clear-f150w,jw01727-o050_t044_nircam_clear-f277w,F150W,F277W,93.288,holdout
J15000905+227496,150.0090450488475,2.274964200158805,1727,cosmos,color,20.109709,jw01727-o162_t052_nircam_clear-f150w,jw05893-o010_t010_nircam_clear-f356w,F150W,F356W,94.852,holdout
J15001125+215662,150.0112504141083,2.156619507094796,1727,cosmos,color,20.701748,jw01727-o091_t061_nircam_clear-f150w,jw01727-o091_t061_nircam_clear-f277w,F150W,F277W,8.804,design
J15001548+244074,150.0154797361419,2.440737316340347,1727,cosmos,color,20.601643,jw01727-o047_t035_nircam_clear-f150w,jw01727-o047_t035_nircam_clear-f277w,F150W,F277W,19.615,design
J15001815+243074,150.0181499784716,2.430740430283597,1727,cosmos,color,17.407978,jw01727-o047_t035_nircam_clear-f150w,jw01727-o047_t035_nircam_clear-f277w,F150W,F277W,50.73,design
J15002139+203715,150.0213873263837,2.037152334945396,1727,cosmos,color,20.97245,jw01727-o131_t071_nircam_clear-f150w,jw01727-o131_t071_nircam_clear-f277w,F150W,F277W,102.618,holdout
J15002264+250804,150.022644493591,2.508043311162618,1727,cosmos,color,20.537872,jw01727-o010_t034_nircam_clear-f150w,jw01727-o010_t034_nircam_clear-f277w,F150W,F277W,120.522,holdout
J15002769+241017,150.0276928647571,2.410172613007187,1727,cosmos,color,19.42204,jw01727-o049_t043_nircam_clear-f150w,jw01727-o049_t043_nircam_clear-f277w,F150W,F277W,49.317,design
J15002774+237388,150.0277358426142,2.373877636613189,1727,cosmos,color,17.374928,jw01727-o049_t043_nircam_clear-f150w,jw01727-o049_t043_nircam_clear-f277w,F150W,F277W,69.049,holdout
J15002786+184090,150.0278603317689,1.840896808053142,1727,cosmos,color,19.23633,jw01727-o136_t088_nircam_clear-f150w,jw01727-o136_t088_nircam_clear-f277w,F150W,F277W,133.616,design
J15003334+244894,150.0333441883284,2.448935469175391,1727,cosmos,color,18.87704,jw01727-o012_t042_nircam_clear-f150w,jw01727-o012_t042_nircam_clear-f277w,F150W,F277W,53.3,design
J15003576+226164,150.0357620114859,2.261643320861558,1727,cosmos,color,20.346138,jw01727-o162_t052_nircam_clear-f150w,jw01727-o162_t052_nircam_clear-f277w,F150W,F277W,116.752,holdout
J15003725+244542,150.0372539981247,2.445420961533534,1727,cosmos,color,19.52161,jw01727-o012_t042_nircam_clear-f150w,jw01727-o012_t042_nircam_clear-f277w,F150W,F277W,45.834,holdout
J15003928+242850,150.0392790545849,2.428499508997853,1727,cosmos,color,19.48179,jw01727-o049_t043_nircam_clear-f150w,jw01727-o049_t043_nircam_clear-f277w,F150W,F277W,22.372,design
J15004294+191457,150.042941745567,1.914568505958485,1727,cosmos,color,19.122803,jw01727-o136_t088_nircam_clear-f150w,jw01727-o136_t088_nircam_clear-f277w,F150W,F277W,132.392,design
J15004366+254934,150.043656935905,2.549335118877108,1727,cosmos,color,20.398962,jw01727-o009_t033_nircam_clear-f150w,jw01727-o009_t033_nircam_clear-f277w,F150W,F277W,59.753,design
J15004401+226637,150.0440080195558,2.266372617496303,1727,cosmos,color,20.08817,jw01727-o054_t060_nircam_clear-f150w,jw01727-o054_t060_nircam_clear-f277w,F150W,F277W,121.159,design
J15004880+251632,150.04880083915,2.516317879935355,1727,cosmos,color,20.132475,jw01727-o010_t034_nircam_clear-f150w,jw01727-o010_t034_nircam_clear-f277w,F150W,F277W,72.035,design
J15006760+258633,150.0675987548056,2.586325137158513,1727,cosmos,color,19.319786,jw01727-o009_t033_nircam_clear-f150w,jw01727-o009_t033_nircam_clear-f277w,F150W,F277W,63.174,holdout
J15007584+220335,150.0758396754738,2.203352856696267,1727,cosmos,color,17.538916,jw01727-o093_t069_nircam_clear-f150w,jw01837-o003_t003_nircam_clear-f277w,F150W,F277W,60.023,design
J15008614+253138,150.0861405142442,2.531380279779448,1727,cosmos,color,20.794537,jw01727-o011_t041_nircam_clear-f150w,jw01727-o011_t041_nircam_clear-f277w,F150W,F277W,59.516,holdout
J15009112+248272,150.0911223990346,2.482720293518642,1727,cosmos,color,20.74013,jw01727-o014_t050_nircam_clear-f150w,jw01727-o014_t050_nircam_clear-f277w,F150W,F277W,87.371,design
J15009157+193091,150.0915740170636,1.930909846120583,1727,cosmos,color,18.664263,jw01727-o137_t095_nircam_clear-f150w,jw01727-o137_t095_nircam_clear-f277w,F150W,F277W,139.293,design
J15009204+190690,150.0920428490376,1.906903839767832,1727,cosmos,color,20.982695,jw01727-o138_t096_nircam_clear-f150w,jw01727-o138_t096_nircam_clear-f277w,F150W,F277W,57.731,design
J15009426+213932,150.0942646108919,2.139320788328195,1727,cosmos,color,18.436941,jw01727-o156_t077_nircam_clear-f150w,jw01727-o156_t077_nircam_clear-f277w,F150W,F277W,55.461,design
J15009508+219374,150.0950792827728,2.193738908660982,1727,cosmos,color,19.994589,jw01727-o156_t077_nircam_clear-f150w,jw01837-o003_t003_nircam_clear-f277w,F150W,F277W,34.545,design
J15010031+245649,150.1003135160075,2.456488481450111,1727,cosmos,color,19.923317,jw01727-o014_t050_nircam_clear-f150w,jw01837-o004_t004_nircam_clear-f277w,F150W,F277W,114.986,design
J15010092+257270,150.1009168956143,2.57269782339558,1727,cosmos,color,20.513052,jw01727-o011_t041_nircam_clear-f150w,jw01727-o011_t041_nircam_clear-f277w,F150W,F277W,79.759,design
J15010739+198576,150.1073854412899,1.985756814381851,1727,cosmos,color,19.400818,jw01727-o137_t095_nircam_clear-f150w,jw01727-o137_t095_nircam_clear-f277w,F150W,F277W,74.541,design
J15011758+255892,150.1175798016885,2.558924886476844,1727,cosmos,color,20.523087,jw01727-o013_t049_nircam_clear-f150w,jw01727-o013_t049_nircam_clear-f277w,F150W,F277W,55.158,holdout
J15012035+205020,150.1203506732118,2.05020021932702,1727,cosmos,color,20.184742,jw01727-o100_t094_nircam_clear-f150w,jw01727-o100_t094_nircam_clear-f277w,F150W,F277W,59.474,holdout
J15013236+185399,150.1323567642748,1.853986442174444,1727,cosmos,color,19.645689,jw01727-o142_t112_nircam_clear-f150w,jw01727-o142_t112_nircam_clear-f277w,F150W,F277W,40.736,holdout
J15013486+205615,150.134859015268,2.056147228712318,1727,cosmos,color,19.258862,jw01727-o100_t094_nircam_clear-f150w,jw01727-o100_t094_nircam_clear-f277w,F150W,F277W,45.437,design
J15014324+260270,150.1432350080999,2.60270423327258,1727,cosmos,color,19.454046,jw01727-o013_t049_nircam_clear-f150w,jw01727-o013_t049_nircam_clear-f277w,F150W,F277W,92.463,design
J15015821+189096,150.1582092504898,1.890962866952931,1727,cosmos,color,19.55975,jw01727-o141_t111_nircam_clear-f150w,jw01727-o141_t111_nircam_clear-f277w,F150W,F277W,70.65,design
J15016855+178503,150.1685517836465,1.785027758930714,1727,cosmos,color,19.74579,jw01727-o144_t120_nircam_clear-f150w,jw01727-o144_t120_nircam_clear-f277w,F150W,F277W,74.431,design
J15017052+182964,150.1705248184255,1.82964255473709,1727,cosmos,color,20.543991,jw01727-o144_t120_nircam_clear-f150w,jw01727-o144_t120_nircam_clear-f277w,F150W,F277W,69.224,design
J15017886+200904,150.1788601329395,2.009043698309506,1727,cosmos,color,18.315342,jw01727-o102_t102_nircam_clear-f150w,jw01727-o102_t102_nircam_clear-f277w,F150W,F277W,76.738,holdout
J15019508+177351,150.1950796845636,1.773509500352509,1727,cosmos,color,19.49839,jw01727-o146_t128_nircam_clear-f150w,jw01727-o146_t128_nircam_clear-f277w,F150W,F277W,52.204,holdout
J15019947+214799,150.1994684085828,2.147985449944611,1727,cosmos,color,20.837774,jw01727-o101_t101_nircam_clear-f150w,jw01727-o101_t101_nircam_clear-f277w,F150W,F277W,131.985,holdout
J15020999+233033,150.2099883732107,2.330334133183101,1727,cosmos,color,20.360092,jw01727-o059_t083_nircam_clear-f150w,jw01727-o059_t083_nircam_clear-f277w,F150W,F277W,15.857,holdout
J15021036+181648,150.2103566777988,1.816479972830119,1727,cosmos,color,20.688498,jw01727-o146_t128_nircam_clear-f150w,jw01727-o146_t128_nircam_clear-f277w,F150W,F277W,28.571,holdout
J15021143+206291,150.2114348026915,2.062911083953135,1727,cosmos,color,19.548637,jw01727-o104_t110_nircam_clear-f150w,jw01727-o104_t110_nircam_clear-f277w,F150W,F277W,10.553,holdout
J15021176+206835,150.2117561386652,2.068345137657415,1727,cosmos,color,19.276964,jw01727-o104_t110_nircam_clear-f150w,jw01727-o104_t110_nircam_clear-f277w,F150W,F277W,8.137,holdout
J15021434+238041,150.2143392920632,2.380408373679443,1727,cosmos,color,19.013071,jw01727-o161_t082_nircam_clear-f150w,jw01727-o161_t082_nircam_clear-f277w,F150W,F277W,83.599,design
J15021591+259018,150.2159125445341,2.590179031638645,4265,blank,color,20.886158,jw04265-o003_t001_nircam_clear-f200w,jw04265-o003_t001_nircam_clear-f356w,F200W,F356W,185.704,design
J15021912+240750,150.2191174582856,2.407504446431797,1727,cosmos,color,17.085804,jw01727-o161_t082_nircam_clear-f150w,jw01727-o161_t082_nircam_clear-f277w,F150W,F277W,114.875,holdout
J15022286+228385,150.222858412939,2.283846592179569,1727,cosmos,color,20.335663,jw01727-o061_t091_nircam_clear-f150w,jw01727-o061_t091_nircam_clear-f277w,F150W,F277W,144.117,design
J15022668+233120,150.2266832979719,2.331200226194484,1727,cosmos,color,20.504087,jw01727-o061_t091_nircam_clear-f150w,jw01727-o061_t091_nircam_clear-f277w,F150W,F277W,31.925,holdout
J15023235+220569,150.2323521514595,2.205689158606405,1727,cosmos,color,20.254074,jw01727-o064_t100_nircam_clear-f150w,jw01727-o064_t100_nircam_clear-f277w,F150W,F277W,15.069,design
J15023349+185115,150.2334945054441,1.851148547619187,1727,cosmos,color,20.504112,jw01727-o146_t128_nircam_clear-f150w,jw01727-o146_t128_nircam_clear-f277w,F150W,F277W,29.716,design
