id,role,source
J15001548+244074,negative,truth_negatives.csv(design)
J15001815+243074,negative,truth_negatives.csv(design)
J15002769+241017,negative,truth_negatives.csv(design)
J15002786+184090,negative,truth_negatives.csv(design)
J15003334+244894,negative,truth_negatives.csv(design)
J15003928+242850,negative,truth_negatives.csv(design)
J15004294+191457,negative,truth_negatives.csv(design)
J15004366+254934,negative,truth_negatives.csv(design)
J15004401+226637,negative,truth_negatives.csv(design)
J15004880+251632,negative,truth_negatives.csv(design)
J15007584+220335,negative,truth_negatives.csv(design)
J15009112+248272,negative,truth_negatives.csv(design)
J15009157+193091,negative,truth_negatives.csv(design)
J15009204+190690,negative,truth_negatives.csv(design)
J15009426+213932,negative,truth_negatives.csv(design)
J15009508+219374,negative,truth_negatives.csv(design)
J15010031+245649,negative,truth_negatives.csv(design)
J15010092+257270,negative,truth_negatives.csv(design)
J15010739+198576,negative,truth_negatives.csv(design)
J15013486+205615,negative,truth_negatives.csv(design)
J15014324+260270,negative,truth_negatives.csv(design)
J15015821+189096,negative,truth_negatives.csv(design)
J15016855+178503,negative,truth_negatives.csv(design)
J15017052+182964,negative,truth_negatives.csv(design)
J15021434+238041,negative,truth_negatives.csv(design)
J15021591+259018,negative,truth_negatives.csv(design)
J15022286+228385,negative,truth_negatives.csv(design)
J15023235+220569,negative,truth_negatives.csv(design)
J15023349+185115,negative,truth_negatives.csv(design)
J15024474+236434,negative,truth_negatives.csv(design)
J15024530+184805,negative,truth_negatives.csv(design)
J15024826+251319,negative,truth_negatives.csv(design)
J15025386+227732,negative,truth_negatives.csv(design)
J15026619+228717,negative,truth_negatives.csv(design)
J15027737+204678,negative,truth_negatives.csv(design)
J15028463+227882,negative,truth_negatives.csv(design)
J15028876+239133,negative,truth_negatives.csv(design)
J15029465+248871,negative,truth_negatives.csv(design)
J15030429+233435,negative,truth_negatives.csv(design)
J15031078+252823,negative,truth_negatives.csv(design)
J15031280+200903,negative,truth_negatives.csv(design)
J15031714+252191,negative,truth_negatives.csv(design)
J15032015+222358,negative,truth_negatives.csv(design)
J15033062+242443,negative,truth_negatives.csv(design)
J15033735+241243,negative,truth_negatives.csv(design)
J15033790+250887,negative,truth_negatives.csv(design)
J15036067+198798,negative,truth_negatives.csv(design)
J15037538+244169,negative,truth_negatives.csv(design)
J15038166+223462,negative,truth_negatives.csv(design)
J15038208+191201,negative,truth_negatives.csv(design)
J15039169+231652,negative,truth_negatives.csv(design)
J15039470+206832,negative,truth_negatives.csv(design)
J15039518+200815,negative,truth_negatives.csv(design)
J15042176+241477,negative,truth_negatives.csv(design)
J15042265+240722,negative,truth_negatives.csv(design)
J15042277+241724,negative,truth_negatives.csv(design)
J15045062+241999,negative,truth_negatives.csv(design)
J15045900+217094,negative,truth_negatives.csv(design)
J15047387+237589,negative,truth_negatives.csv(design)
J15053436+238213,negative,truth_negatives.csv(design)
J15056095+211113,negative,truth_negatives.csv(design)
J1505653+2807180,negative,truth_negatives.csv(design)
J15424724+3904547,negative,truth_negatives.csv(design)
J15424914+3903022,negative,truth_negatives.csv(design)
J16437127+5799513,negative,truth_negatives.csv(design)
J17183353+4248564,negative,truth_negatives.csv(design)
J17738849+2238664,negative,truth_negatives.csv(design)
J17739683+2241745,negative,truth_negatives.csv(design)
J17741117+2235421,negative,truth_negatives.csv(design)
J17771018-2807261,negative,truth_negatives.csv(design)
J17773035-2807155,negative,truth_negatives.csv(design)
J17832181+791864,negative,truth_negatives.csv(design)
J17832394+793591,negative,truth_negatives.csv(design)
J17832474+792844,negative,truth_negatives.csv(design)
J17832857+791584,negative,truth_negatives.csv(design)
J17833172+794079,negative,truth_negatives.csv(design)
J18156523-880609,negative,truth_negatives.csv(design)
J18307996+2755490,negative,truth_negatives.csv(design)
J18773188+1230425,negative,truth_negatives.csv(design)
J18775408+1232162,negative,truth_negatives.csv(design)
J19066646+264375,negative,truth_negatives.csv(design)
J19651804+394694,negative,truth_negatives.csv(design)
J19776313-318483,negative,truth_negatives.csv(design)
J19786644-138569,negative,truth_negatives.csv(design)
J19786985-133179,negative,truth_negatives.csv(design)
J20137194-1169361,negative,truth_negatives.csv(design)
J20381475+4099553,negative,truth_negatives.csv(design)
J20996068+6251811,negative,truth_negatives.csv(design)
J20998800+6250300,negative,truth_negatives.csv(design)
J21025496+286266,negative,truth_negatives.csv(design)
J21026192+286910,negative,truth_negatives.csv(design)
J21062425-454519,negative,truth_negatives.csv(design)
J21595369+2410851,negative,truth_negatives.csv(design)
J2230462-7356702,negative,truth_negatives.csv(design)
J2244764-7355900,negative,truth_negatives.csv(design)
J2296284-1360772,negative,truth_negatives.csv(design)
J2297755-1361783,negative,truth_negatives.csv(design)
J23750859-7818481,negative,truth_negatives.csv(design)
J24535312+3816912,negative,truth_negatives.csv(design)
J26291130+2285701,negative,truth_negatives.csv(design)
J26452875+6010501,negative,truth_negatives.csv(design)
J2715947+603919,negative,truth_negatives.csv(design)
J2781430-5991827,negative,truth_negatives.csv(design)
J30855626-5961162,negative,truth_negatives.csv(design)
J31540786-6139596,negative,truth_negatives.csv(design)
J32239251+014889,negative,truth_negatives.csv(design)
J32274389-4029641,negative,truth_negatives.csv(design)
J32506550-2364801,negative,truth_negatives.csv(design)
J33553245+2776222,negative,truth_negatives.csv(design)
J34082780-959445,negative,truth_negatives.csv(design)
J34218541-4451866,negative,truth_negatives.csv(design)
J3439929-506933,negative,truth_negatives.csv(design)
J348227-3033188,negative,truth_negatives.csv(design)
J35126172-4117963,negative,truth_negatives.csv(design)
J35130795-4119766,negative,truth_negatives.csv(design)
J353435-3033214,negative,truth_negatives.csv(design)
J354843-3037348,negative,truth_negatives.csv(design)
J356177-3043180,negative,truth_negatives.csv(design)
J358086-3053296,negative,truth_negatives.csv(design)
J35830404+2204845,negative,truth_negatives.csv(design)
J365031-3042229,negative,truth_negatives.csv(design)
J3809127-4434442,negative,truth_negatives.csv(design)
J3868725-5852076,negative,truth_negatives.csv(design)
J3996953-159313,negative,truth_negatives.csv(design)
J4001010-159844,negative,truth_negatives.csv(design)
J4132208-5302079,negative,truth_negatives.csv(design)
J4137775-5302746,negative,truth_negatives.csv(design)
J4312673-2101336,negative,truth_negatives.csv(design)
J4355416-5896262,negative,truth_negatives.csv(design)
J4356255-5894733,negative,truth_negatives.csv(design)
J463478+1641766,negative,truth_negatives.csv(design)
J466009+1637185,negative,truth_negatives.csv(design)
J473538-4086871,negative,truth_negatives.csv(design)
J5243714-217875,negative,truth_negatives.csv(design)
J5313613-2782910,negative,truth_negatives.csv(design)
J5318769-2772550,negative,truth_negatives.csv(design)
J5328406-2785654,negative,truth_negatives.csv(design)
J5377489-1947618,negative,truth_negatives.csv(design)
J5378386-1946893,negative,truth_negatives.csv(design)
J5973691-2991571,negative,truth_negatives.csv(design)
J6146773-4925583,negative,truth_negatives.csv(design)
J6405781-2407390,negative,truth_negatives.csv(design)
J6740113-289378,negative,truth_negatives.csv(design)
J6929477+073773,negative,truth_negatives.csv(design)
J694390+2627532,negative,truth_negatives.csv(design)
J7076877-6164171,negative,truth_negatives.csv(design)
J7296296-6935436,negative,truth_negatives.csv(design)
J7354526-302673,negative,truth_negatives.csv(design)
J7355034-300033,negative,truth_negatives.csv(design)
J803699+201708,negative,truth_negatives.csv(design)
J804769+1814094,negative,truth_negatives.csv(design)
J804801+1813123,negative,truth_negatives.csv(design)
J806086+1813290,negative,truth_negatives.csv(design)
J8570749-2142357,negative,truth_negatives.csv(design)
J8734971-6208053,negative,truth_negatives.csv(design)
J8834008-3368573,negative,truth_negatives.csv(design)
J886041-2024869,negative,truth_negatives.csv(design)
J9005029-4390718,negative,truth_negatives.csv(design)
J9395385-5771281,negative,truth_negatives.csv(design)
J9968089-5398857,negative,truth_negatives.csv(design)
J9969294-5397094,negative,truth_negatives.csv(design)
J15004969+221715,cowls,control_recovery.csv(design)
J15009505+230050,cowls,control_recovery.csv(design)
J15033701+227952,cowls,control_recovery.csv(design)
J15013008+243766,cowls,control_recovery.csv(design)
J15021106+190577,cowls,control_recovery.csv(design)
J15021825+181565,cowls,control_recovery.csv(design)
J14996187+200380,cowls,control_recovery.csv(design)
J15005258+233772,cowls,control_recovery.csv(design)
J14991871+254823,cowls,control_recovery.csv(design)
J15001911+259543,cowls,control_recovery.csv(design)
J14981996+233941,cowls,control_recovery.csv(design)
J14984222+230342,cowls,control_recovery.csv(design)
J15031125+251191,cowls,control_recovery.csv(design)
J15026528+186865,cowls,control_recovery.csv(design)
J14991319+251221,cowls,control_recovery.csv(design)
