name,ra,dec,survey_key,score_1_4,grade_letter,label_source,bench_overlap,pool_split
DESI-070.4130-09.7774,70.413,-9.7774,ls-dr9,4,A,paper2_agree,True,
DESI-073.9030-25.5129,73.903,-25.5129,ls-dr9,4,A,paper2_agree,True,
DESI-074.9643-30.7236,74.9643,-30.7236,ls-dr9,4,A,paper2_agree,True,
DESI-075.2790-24.4179,75.279,-24.4179,ls-dr9,4,A,paper2_agree,True,
DESI-078.3561-30.8433,78.3561,-30.8433,ls-dr9,4,A,paper2_agree,True,
DESI-081.7547-18.9674,81.7547,-18.9674,ls-dr9,4,A,paper2_agree,True,
DESI-082.1548-26.5667,82.1548,-26.5667,ls-dr9,4,A,paper2_agree,False,
DESI-086.3066-26.5884,86.3066,-26.5884,ls-dr9,4,A,paper2_agree,False,
DESI-087.1525-36.2427,87.1525,-36.2427,ls-dr9,4,A,paper2_agree,True,
DESI-090.9854-35.9683,90.9854,-35.9683,ls-dr9,4,A,paper2_agree,True,
DESI-104.1909+38.7456,104.1909,38.7456,ls-dr9,4,A,paper2_agree,False,
DESI-107.5775+40.1752,107.5775,40.1752,ls-dr9,4,A,paper2_agree,False,
DESI-109.9018+27.9032,109.9018,27.9032,ls-dr9,4,A,paper2_agree,True,
DESI-109.9255+57.3569,109.9255,57.3569,ls-dr9,4,A,paper2_agree,False,
DESI-110.4891+49.8801,110.4891,49.8801,ls-dr9,4,A,paper2_agree,False,
DESI-118.4491+20.9528,118.4491,20.9528,ls-dr9,4,A,paper2_agree,False,
DESI-118.8480+34.7610,118.848,34.761,ls-dr9,4,A,paper2_agree,True,
DESI-142.9212-06.7297,142.9212,-6.7297,ls-dr9,4,A,paper2_agree,False,
DESI-147.9185+07.5090,147.9185,7.509,ls-dr9,4,A,paper2_agree,False,
DESI-148.1676+34.5795,148.1676,34.5795,ls-dr9,4,A,paper2_agree,False,
DESI-151.1424+41.2121,151.1424,41.2121,ls-dr9,4,A,paper2_agree,False,
DESI-151.7182-07.9276,151.7182,-7.9276,ls-dr9,4,A,paper2_agree,False,
DESI-153.7937+32.5308,153.7937,32.5308,ls-dr9,4,A,paper2_agree,False,
DESI-157.6135-06.6858,157.6135,-6.6858,ls-dr9,4,A,paper2_agree,True,
DESI-160.1716+18.8477,160.1716,18.8477,ls-dr9,4,A,paper2_agree,True,
DESI-161.1159+31.2337,161.1159,31.2337,ls-dr9,4,A,paper2_agree,True,
DESI-164.9800+42.8595,164.98,42.8595,ls-dr9,4,A,paper2_agree,False,
DESI-168.7683+16.7607,168.7683,16.7607,ls-dr9,4,A,paper2_agree,True,
DESI-169.9718+14.7456,169.9718,14.7456,ls-dr9,4,A,paper2_agree,False,
DESI-173.3049+50.1444,173.3049,50.1444,ls-dr9,4,A,paper2_agree,False,
DESI-175.4961+19.3041,175.4961,19.3041,ls-dr9,4,A,paper2_agree,True,
DESI-178.0775+08.8170,178.0775,8.817,ls-dr9,4,A,paper2_agree,True,
DESI-179.0228+19.1869,179.0228,19.1869,ls-dr9,4,A,paper2_agree,False,
DESI-181.9031+52.9176,181.9031,52.9176,ls-dr9,4,A,paper2_agree,False,
DESI-183.0792+27.5646,183.0792,27.5646,ls-dr9,4,A,paper2_agree,False,
DESI-189.4008+55.5619,189.4008,55.5619,ls-dr9,4,A,paper2_agree,True,
DESI-190.1345+45.1508,190.1345,45.1508,ls-dr9,4,A,paper2_agree,False,
DESI-192.9428+01.7155,192.9428,1.7155,ls-dr9,4,A,paper2_agree,True,
DESI-196.4575+22.9256,196.4575,22.9256,ls-dr9,4,A,paper2_agree,True,
DESI-197.5704+14.7474,197.5704,14.7474,ls-dr9,4,A,paper2_agree,True,
DESI-200.7252+58.1651,200.7252,58.1651,ls-dr9,4,A,paper2_agree,False,
DESI-200.7678+03.7216,200.7678,3.7216,ls-dr9,4,A,paper2_agree,True,
DESI-214.3545+76.2152,214.3545,76.2152,ls-dr9,4,A,paper2_agree,False,
DESI-220.4549+14.6891,220.4549,14.6891,ls-dr9,4,A,paper2_agree,True,
DESI-221.8241+78.0430,221.8241,78.043,ls-dr9,4,A,paper2_agree,False,
DESI-227.3528+39.0279,227.3528,39.0279,ls-dr9,4,A,paper2_agree,True,
DESI-245.7514+21.6226,245.7514,21.6226,ls-dr9,4,A,paper2_agree,True,
DESI-252.2720+02.3993,252.272,2.3993,ls-dr9,4,A,paper2_agree,True,
DESI-254.4235+34.8162,254.4235,34.8162,ls-dr9,4,A,paper2_agree,True,
DESI-260.8405+23.8442,260.8405,23.8442,ls-dr9,4,A,paper2_agree,True,
DESI-266.4075+39.8584,266.4075,39.8584,ls-dr9,4,A,paper2_agree,False,
DESI-277.9494+54.3033,277.9494,54.3033,ls-dr9,4,A,paper2_agree,False,
DESI-327.8408+13.7884,327.8408,13.7884,ls-dr9,4,A,paper2_agree,True,
DESI-329.6820+02.9584,329.682,2.9584,ls-dr9,4,A,paper2_agree,True,
DESI-333.3655-13.2491,333.3655,-13.2491,ls-dr9,4,A,paper2_agree,True,
DESI-333.9656+04.5843,333.9656,4.5843,ls-dr9,4,A,paper2_agree,False,
DESI-341.8012-02.0939,341.8012,-2.0939,ls-dr9,4,A,paper2_agree,True,
DESI-344.5567+17.1506,344.5567,17.1506,ls-dr9,4,A,paper2_agree,False,
DESI-345.0719+22.2249,345.0719,22.2249,ls-dr9,4,A,paper2_agree,False,
DESI-346.7668-13.3744,346.7668,-13.3744,ls-dr9,4,A,paper2_agree,False,
DESI-353.5287-07.7712,353.5287,-7.7712,ls-dr9,4,A,paper2_agree,False,
DESI-355.2727-57.2679,355.2727,-57.2679,ls-dr9,4,A,paper2_agree,False,
DESI-356.7894-62.7765,356.7894,-62.7765,ls-dr9,4,A,paper2_agree,False,
DESI-359.7003-61.4330,359.7003,-61.433,ls-dr9,4,A,paper2_agree,False,
DESI-004.0930-09.1126,4.093,-9.1126,ls-dr9,3,B,paper2_agree,False,
DESI-004.2564-10.1530,4.2564,-10.153,ls-dr9,3,B,paper2_agree,True,
DESI-004.8654+32.0834,4.8654,32.0834,ls-dr9,3,B,paper2_agree,False,
DESI-005.2593-26.5437,5.2593,-26.5437,ls-dr9,3,B,paper2_agree,False,
DESI-008.0382-11.7536,8.0382,-11.7536,ls-dr9,3,B,paper2_agree,False,
DESI-009.5789-22.7448,9.5789,-22.7448,ls-dr9,3,B,paper2_agree,False,
DESI-010.9823-38.8884,10.9823,-38.8884,ls-dr9,3,B,paper2_agree,False,
DESI-011.3586-34.2832,11.3586,-34.2832,ls-dr9,3,B,paper2_agree,False,
DESI-013.2126-24.3469,13.2126,-24.3469,ls-dr9,3,B,paper2_agree,False,
DESI-014.1400-29.2327,14.14,-29.2327,ls-dr9,3,B,paper2_agree,False,
DESI-014.3122+21.6428,14.3122,21.6428,ls-dr9,3,B,paper2_agree,False,
DESI-014.6685+05.7665,14.6685,5.7665,ls-dr9,3,B,paper2_agree,False,
DESI-014.7995-22.0867,14.7995,-22.0867,ls-dr9,3,B,paper2_agree,False,
DESI-015.4982-21.4487,15.4982,-21.4487,ls-dr9,3,B,paper2_agree,False,
DESI-015.7396-29.1895,15.7396,-29.1895,ls-dr9,3,B,paper2_agree,True,
DESI-015.9372+27.1025,15.9372,27.1025,ls-dr9,3,B,paper2_agree,False,
DESI-016.1300-19.8697,16.13,-19.8697,ls-dr9,3,B,paper2_agree,False,
DESI-016.3170+01.4392,16.317,1.4392,ls-dr9,3,B,paper2_agree,False,
DESI-016.5259-31.0774,16.5259,-31.0774,ls-dr9,3,B,paper2_agree,False,
DESI-016.5369-37.0055,16.5369,-37.0055,ls-dr9,3,B,paper2_agree,False,
DESI-018.7209-25.2845,18.7209,-25.2845,ls-dr9,3,B,paper2_agree,False,
DESI-020.7960+30.9619,20.796,30.9619,ls-dr9,3,B,paper2_agree,False,
DESI-023.0157-16.0040,23.0157,-16.004,ls-dr9,3,B,paper2_agree,True,
DESI-024.7188-16.8552,24.7188,-16.8552,ls-dr9,3,B,paper2_agree,False,
DESI-025.7083-19.7918,25.7083,-19.7918,ls-dr9,3,B,paper2_agree,False,
DESI-025.9390-26.2946,25.939,-26.2946,ls-dr9,3,B,paper2_agree,False,
DESI-026.7621-01.9526,26.7621,-1.9526,ls-dr9,3,B,paper2_agree,False,
DESI-027.4483+12.4652,27.4483,12.4652,ls-dr9,3,B,paper2_agree,False,
DESI-027.5036+27.4267,27.5036,27.4267,ls-dr9,3,B,paper2_agree,False,
DESI-027.8944+05.1619,27.8944,5.1619,ls-dr9,3,B,paper2_agree,False,
DESI-027.9100-24.4413,27.91,-24.4413,ls-dr9,3,B,paper2_agree,False,
DESI-029.3219+25.4699,29.3219,25.4699,ls-dr9,3,B,paper2_agree,False,
DESI-030.4360-27.6618,30.436,-27.6618,ls-dr9,3,B,paper2_agree,True,
DESI-031.0343-29.3024,31.0343,-29.3024,ls-dr9,3,B,paper2_agree,False,
DESI-033.4120-28.2374,33.412,-28.2374,ls-dr9,3,B,paper2_agree,False,
DESI-033.4558+14.1537,33.4558,14.1537,ls-dr9,3,B,paper2_agree,False,
DESI-033.8095-29.1570,33.8095,-29.157,ls-dr9,3,B,paper2_agree,True,
DESI-034.0760+02.9333,34.076,2.9333,ls-dr9,3,B,paper2_agree,False,
DESI-034.5995-01.9843,34.5995,-1.9843,ls-dr9,3,B,paper2_agree,False,
DESI-035.0142+02.7345,35.0142,2.7345,ls-dr9,3,B,paper2_agree,False,
DESI-037.0680-29.3960,37.068,-29.396,ls-dr9,3,B,paper2_agree,False,
DESI-037.7246+20.8596,37.7246,20.8596,ls-dr9,3,B,paper2_agree,False,
DESI-038.5455-35.7895,38.5455,-35.7895,ls-dr9,3,B,paper2_agree,False,
DESI-038.6407-14.8060,38.6407,-14.806,ls-dr9,3,B,paper2_agree,False,
DESI-042.5350+00.1379,42.535,0.1379,ls-dr9,3,B,paper2_agree,False,
DESI-042.8971-12.3337,42.8971,-12.3337,ls-dr9,3,B,paper2_agree,False,
DESI-044.1841-09.2468,44.1841,-9.2468,ls-dr9,3,B,paper2_agree,False,
DESI-044.5235-34.8959,44.5235,-34.8959,ls-dr9,3,B,paper2_agree,False,
DESI-045.5878-04.3899,45.5878,-4.3899,ls-dr9,3,B,paper2_agree,False,
DESI-046.4172-29.5712,46.4172,-29.5712,ls-dr9,3,B,paper2_agree,False,
DESI-047.1385-17.6676,47.1385,-17.6676,ls-dr9,3,B,paper2_agree,False,
DESI-047.3494-30.1968,47.3494,-30.1968,ls-dr9,3,B,paper2_agree,False,
DESI-047.4380-14.6211,47.438,-14.6211,ls-dr9,3,B,paper2_agree,False,
DESI-048.6263-09.5613,48.6263,-9.5613,ls-dr9,3,B,paper2_agree,False,
DESI-048.6484-21.4665,48.6484,-21.4665,ls-dr9,3,B,paper2_agree,False,
DESI-048.9389-29.9643,48.9389,-29.9643,ls-dr9,3,B,paper2_agree,False,
DESI-050.7649-27.5687,50.7649,-27.5687,ls-dr9,3,B,paper2_agree,False,
DESI-051.2051-10.3481,51.2051,-10.3481,ls-dr9,3,B,paper2_agree,False,
DESI-053.7319-19.9224,53.7319,-19.9224,ls-dr9,3,B,paper2_agree,False,
DESI-054.9589-00.1356,54.9589,-0.1356,ls-dr9,3,B,paper2_agree,False,
DESI-055.8328-16.2951,55.8328,-16.2951,ls-dr9,3,B,paper2_agree,False,
DESI-056.2001-20.9116,56.2001,-20.9116,ls-dr9,3,B,paper2_agree,False,
DESI-057.5232-13.1978,57.5232,-13.1978,ls-dr9,3,B,paper2_agree,False,
DESI-060.9086-07.3160,60.9086,-7.316,ls-dr9,3,B,paper2_agree,False,
DESI-061.6770-23.3205,61.677,-23.3205,ls-dr9,3,B,paper2_agree,False,
DESI-062.2475-05.9982,62.2475,-5.9982,ls-dr9,3,B,paper2_agree,False,
DESI-062.7834-22.9431,62.7834,-22.9431,ls-dr9,3,B,paper2_agree,False,
DESI-063.3879-16.8328,63.3879,-16.8328,ls-dr9,3,B,paper2_agree,False,
DESI-063.6168-19.9192,63.6168,-19.9192,ls-dr9,3,B,paper2_agree,False,
DESI-065.2568-21.6299,65.2568,-21.6299,ls-dr9,3,B,paper2_agree,False,
DESI-065.3372-29.8915,65.3372,-29.8915,ls-dr9,3,B,paper2_agree,False,
DESI-065.5808-26.9514,65.5808,-26.9514,ls-dr9,3,B,paper2_agree,False,
DESI-066.2134-23.1960,66.2134,-23.196,ls-dr9,3,B,paper2_agree,False,
DESI-068.3176-41.0553,68.3176,-41.0553,ls-dr9,3,B,paper2_agree,False,
DESI-069.9349-04.6098,69.9349,-4.6098,ls-dr9,3,B,paper2_agree,False,
DESI-071.2400-07.6007,71.24,-7.6007,ls-dr9,3,B,paper2_agree,False,
DESI-071.5624-20.0285,71.5624,-20.0285,ls-dr9,3,B,paper2_agree,False,
DESI-071.8657-02.8613,71.8657,-2.8613,ls-dr9,3,B,paper2_agree,False,
DESI-072.0528-30.3308,72.0528,-30.3308,ls-dr9,3,B,paper2_agree,False,
DESI-073.4865-21.3622,73.4865,-21.3622,ls-dr9,3,B,paper2_agree,False,
DESI-078.3580-21.4717,78.358,-21.4717,ls-dr9,3,B,paper2_agree,False,
DESI-089.6411-28.7418,89.6411,-28.7418,ls-dr9,3,B,paper2_agree,False,
DESI-101.4601+48.5810,101.4601,48.581,ls-dr9,3,B,paper2_agree,False,
DESI-110.6705+52.2273,110.6705,52.2273,ls-dr9,3,B,paper2_agree,False,
DESI-115.6174+16.6039,115.6174,16.6039,ls-dr9,3,B,paper2_agree,False,
DESI-115.8731+50.8031,115.8731,50.8031,ls-dr9,3,B,paper2_agree,False,
DESI-116.9217+26.8160,116.9217,26.816,ls-dr9,3,B,paper2_agree,False,
DESI-121.8813+44.1801,121.8813,44.1801,ls-dr9,3,B,paper2_agree,False,
DESI-122.9433+00.9701,122.9433,0.9701,ls-dr9,3,B,paper2_agree,False,
DESI-128.8049+41.1131,128.8049,41.1131,ls-dr9,3,B,paper2_agree,False,
DESI-129.6057+30.2873,129.6057,30.2873,ls-dr9,3,B,paper2_agree,False,
DESI-130.7280-02.0271,130.728,-2.0271,ls-dr9,3,B,paper2_agree,False,
DESI-131.3340-00.9157,131.334,-0.9157,ls-dr9,3,B,paper2_agree,False,
DESI-133.3800+23.3652,133.38,23.3652,ls-dr9,3,B,paper2_agree,True,
DESI-134.1503+23.8641,134.1503,23.8641,ls-dr9,3,B,paper2_agree,False,
DESI-136.4227+34.8998,136.4227,34.8998,ls-dr9,3,B,paper2_agree,False,
DESI-136.9765+00.9590,136.9765,0.959,ls-dr9,3,B,paper2_agree,False,
DESI-137.4367+22.4354,137.4367,22.4354,ls-dr9,3,B,paper2_agree,False,
DESI-138.0524+33.3767,138.0524,33.3767,ls-dr9,3,B,paper2_agree,False,
DESI-139.8960+30.5323,139.896,30.5323,ls-dr9,3,B,paper2_agree,True,
DESI-147.7529+08.4157,147.7529,8.4157,ls-dr9,3,B,paper2_agree,False,
DESI-151.9618+04.6107,151.9618,4.6107,ls-dr9,3,B,paper2_agree,False,
DESI-154.4431-04.0841,154.4431,-4.0841,ls-dr9,3,B,paper2_agree,False,
DESI-157.4831-05.4213,157.4831,-5.4213,ls-dr9,3,B,paper2_agree,False,
DESI-158.2306+75.3149,158.2306,75.3149,ls-dr9,3,B,paper2_agree,False,
DESI-159.3007+04.5911,159.3007,4.5911,ls-dr9,3,B,paper2_agree,False,
DESI-159.7672-08.9316,159.7672,-8.9316,ls-dr9,3,B,paper2_agree,False,
DESI-161.8206+27.9906,161.8206,27.9906,ls-dr9,3,B,paper2_agree,False,
DESI-162.2464+10.5049,162.2464,10.5049,ls-dr9,3,B,paper2_agree,False,
DESI-162.6485+19.9352,162.6485,19.9352,ls-dr9,3,B,paper2_agree,False,
DESI-166.1262-08.6326,166.1262,-8.6326,ls-dr9,3,B,paper2_agree,False,
DESI-174.0622+41.0525,174.0622,41.0525,ls-dr9,3,B,paper2_agree,False,
DESI-176.2391+30.5580,176.2391,30.558,ls-dr9,3,B,paper2_agree,False,
DESI-179.5944+72.4798,179.5944,72.4798,ls-dr9,3,B,paper2_agree,False,
DESI-179.8536-05.1806,179.8536,-5.1806,ls-dr9,3,B,paper2_agree,False,
DESI-180.7746+69.8060,180.7746,69.806,ls-dr9,3,B,paper2_agree,False,
DESI-181.0606+13.2918,181.0606,13.2918,ls-dr9,3,B,paper2_agree,False,
DESI-181.5279+30.1133,181.5279,30.1133,ls-dr9,3,B,paper2_agree,False,
DESI-184.9201+44.8673,184.9201,44.8673,ls-dr9,3,B,paper2_agree,False,
DESI-184.9250+00.8409,184.925,0.8409,ls-dr9,3,B,paper2_agree,False,
DESI-186.7661+28.0517,186.7661,28.0517,ls-dr9,3,B,paper2_agree,False,
DESI-188.3339+14.1325,188.3339,14.1325,ls-dr9,3,B,paper2_agree,False,
DESI-189.5574+27.3029,189.5574,27.3029,ls-dr9,3,B,paper2_agree,False,
DESI-191.3160+19.0924,191.316,19.0924,ls-dr9,3,B,paper2_agree,False,
DESI-192.0695+07.7162,192.0695,7.7162,ls-dr9,3,B,paper2_agree,False,
DESI-200.0505-08.5058,200.0505,-8.5058,ls-dr9,3,B,paper2_agree,False,
DESI-200.8958+06.1545,200.8958,6.1545,ls-dr9,3,B,paper2_agree,False,
DESI-202.9388+51.5753,202.9388,51.5753,ls-dr9,3,B,paper2_agree,True,
DESI-203.8331-08.4487,203.8331,-8.4487,ls-dr9,3,B,paper2_agree,False,
DESI-214.8006+53.4366,214.8006,53.4366,ls-dr9,3,B,paper2_agree,True,
DESI-214.8651-04.0003,214.8651,-4.0003,ls-dr9,3,B,paper2_agree,False,
DESI-218.0748+07.0556,218.0748,7.0556,ls-dr9,3,B,paper2_agree,False,
DESI-219.2455+29.6141,219.2455,29.6141,ls-dr9,3,B,paper2_agree,False,
DESI-220.4044+50.2463,220.4044,50.2463,ls-dr9,3,B,paper2_agree,False,
DESI-223.1039+48.4711,223.1039,48.4711,ls-dr9,3,B,paper2_agree,False,
DESI-225.4050+52.1417,225.405,52.1417,ls-dr9,3,B,paper2_agree,True,
DESI-228.0786+20.8316,228.0786,20.8316,ls-dr9,3,B,paper2_agree,False,
DESI-228.8268+63.2724,228.8268,63.2724,ls-dr9,3,B,paper2_agree,False,
DESI-231.2874+42.4646,231.2874,42.4646,ls-dr9,3,B,paper2_agree,True,
DESI-231.4998+08.7774,231.4998,8.7774,ls-dr9,3,B,paper2_agree,True,
DESI-231.8201+12.9511,231.8201,12.9511,ls-dr9,3,B,paper2_agree,False,
DESI-233.7453+01.3400,233.7453,1.34,ls-dr9,3,B,paper2_agree,False,
DESI-234.4783+14.7232,234.4783,14.7232,ls-dr9,3,B,paper2_agree,True,
DESI-236.3307+16.2141,236.3307,16.2141,ls-dr9,3,B,paper2_agree,False,
DESI-236.4854+10.0292,236.4854,10.0292,ls-dr9,3,B,paper2_agree,False,
DESI-236.5553+35.0802,236.5553,35.0802,ls-dr9,3,B,paper2_agree,False,
DESI-244.3589+20.7108,244.3589,20.7108,ls-dr9,3,B,paper2_agree,False,
DESI-244.5899+53.1871,244.5899,53.1871,ls-dr9,3,B,paper2_agree,False,
DESI-255.6529+28.5791,255.6529,28.5791,ls-dr9,3,B,paper2_agree,False,
DESI-257.4348+31.9046,257.4348,31.9046,ls-dr9,3,B,paper2_agree,True,
DESI-259.0541+28.5928,259.0541,28.5928,ls-dr9,3,B,paper2_agree,False,
DESI-267.2985+23.5101,267.2985,23.5101,ls-dr9,3,B,paper2_agree,False,
DESI-269.7858+41.9039,269.7858,41.9039,ls-dr9,3,B,paper2_agree,False,
DESI-273.4736+34.7448,273.4736,34.7448,ls-dr9,3,B,paper2_agree,False,
DESI-285.9297+52.4182,285.9297,52.4182,ls-dr9,3,B,paper2_agree,False,
DESI-293.9927+58.1525,293.9927,58.1525,ls-dr9,3,B,paper2_agree,True,
DESI-311.4249-10.6762,311.4249,-10.6762,ls-dr9,3,B,paper2_agree,True,
DESI-313.9780+08.7331,313.978,8.7331,ls-dr9,3,B,paper2_agree,False,
DESI-335.2291-11.4857,335.2291,-11.4857,ls-dr9,3,B,paper2_agree,False,
DESI-337.2103+14.9081,337.2103,14.9081,ls-dr9,3,B,paper2_agree,False,
DESI-342.1516+20.2529,342.1516,20.2529,ls-dr9,3,B,paper2_agree,False,
DESI-353.4326-03.4619,353.4326,-3.4619,ls-dr9,3,B,paper2_agree,False,
DESI-353.6004+17.9899,353.6004,17.9899,ls-dr9,3,B,paper2_agree,False,
DESI-356.8114-00.7980,356.8114,-0.798,ls-dr9,3,B,paper2_agree,False,
DESI-359.1477-13.2930,359.1477,-13.293,ls-dr9,3,B,paper2_agree,False,
DESI-001.2742-54.2626,1.2742,-54.2626,ls-dr9,2,C,paper2_agree,False,
DESI-002.0769-06.3760,2.0769,-6.376,ls-dr9,2,C,paper2_agree,False,
DESI-002.4643-34.6088,2.4643,-34.6088,ls-dr9,2,C,paper2_agree,False,
DESI-006.0703+01.4212,6.0703,1.4212,ls-dr9,2,C,paper2_agree,False,
DESI-006.5376-05.1005,6.5376,-5.1005,ls-dr9,2,C,paper2_agree,False,
DESI-006.5454-60.8859,6.5454,-60.8859,ls-dr9,2,C,paper2_agree,False,
DESI-006.9518-03.8141,6.9518,-3.8141,ls-dr9,2,C,paper2_agree,False,
DESI-007.0848-52.1662,7.0848,-52.1662,ls-dr9,2,C,paper2_agree,False,
DESI-007.9602-00.6805,7.9602,-0.6805,ls-dr9,2,C,paper2_agree,False,
DESI-009.4901-61.7741,9.4901,-61.7741,ls-dr9,2,C,paper2_agree,False,
DESI-009.6721-07.4138,9.6721,-7.4138,ls-dr9,2,C,paper2_agree,False,
DESI-010.5365-09.9688,10.5365,-9.9688,ls-dr9,2,C,paper2_agree,False,
DESI-010.5692-05.5844,10.5692,-5.5844,ls-dr9,2,C,paper2_agree,False,
DESI-011.1176-09.8211,11.1176,-9.8211,ls-dr9,2,C,paper2_agree,False,
DESI-012.5414-15.3948,12.5414,-15.3948,ls-dr9,2,C,paper2_agree,False,
DESI-012.6879+05.1953,12.6879,5.1953,ls-dr9,2,C,paper2_agree,False,
DESI-012.7302-17.3424,12.7302,-17.3424,ls-dr9,2,C,paper2_agree,False,
DESI-013.0309-62.2004,13.0309,-62.2004,ls-dr9,2,C,paper2_agree,False,
DESI-014.1862-18.9657,14.1862,-18.9657,ls-dr9,2,C,paper2_agree,False,
DESI-014.2352-25.7746,14.2352,-25.7746,ls-dr9,2,C,paper2_agree,False,
DESI-014.2478-14.0421,14.2478,-14.0421,ls-dr9,2,C,paper2_agree,False,
DESI-014.6510-23.5443,14.651,-23.5443,ls-dr9,2,C,paper2_agree,False,
DESI-014.6810-05.0260,14.681,-5.026,ls-dr9,2,C,paper2_agree,False,
DESI-014.8630-23.2117,14.863,-23.2117,ls-dr9,2,C,paper2_agree,False,
DESI-015.6786-23.9439,15.6786,-23.9439,ls-dr9,2,C,paper2_agree,False,
DESI-016.3301-16.4985,16.3301,-16.4985,ls-dr9,2,C,paper2_agree,False,
DESI-017.1638-08.3884,17.1638,-8.3884,ls-dr9,2,C,paper2_agree,False,
DESI-019.1019-00.1335,19.1019,-0.1335,ls-dr9,2,C,paper2_agree,False,
DESI-019.4701-11.0283,19.4701,-11.0283,ls-dr9,2,C,paper2_agree,False,
DESI-020.3300-00.3409,20.33,-0.3409,ls-dr9,2,C,paper2_agree,False,
DESI-021.5140-10.3682,21.514,-10.3682,ls-dr9,2,C,paper2_agree,False,
DESI-022.2506+00.1193,22.2506,0.1193,ls-dr9,2,C,paper2_agree,False,
DESI-022.2823-07.0851,22.2823,-7.0851,ls-dr9,2,C,paper2_agree,False,
DESI-023.0128-02.3005,23.0128,-2.3005,ls-dr9,2,C,paper2_agree,False,
DESI-023.0583+03.4399,23.0583,3.4399,ls-dr9,2,C,paper2_agree,False,
DESI-023.5329-07.4703,23.5329,-7.4703,ls-dr9,2,C,paper2_agree,False,
DESI-023.8146-17.4043,23.8146,-17.4043,ls-dr9,2,C,paper2_agree,False,
DESI-023.9221-18.7413,23.9221,-18.7413,ls-dr9,2,C,paper2_agree,False,
DESI-024.1759-12.2872,24.1759,-12.2872,ls-dr9,2,C,paper2_agree,False,
DESI-024.1913-40.4779,24.1913,-40.4779,ls-dr9,2,C,paper2_agree,False,
DESI-024.2160-14.8162,24.216,-14.8162,ls-dr9,2,C,paper2_agree,False,
DESI-024.3635-27.6051,24.3635,-27.6051,ls-dr9,2,C,paper2_agree,False,
