campaign,name,ra_deg,dec_deg,outcome,detail,candidate_provenance,source_ref
hsc_desi_dr1,090548+004743,136.45329,0.79538,confirmed_lens,"z_lens=0.85352+/-0.00008, z_source=2.91165+/-0.00010 (measured in this work, not DESI DR1 pipeline); DESI DR1 spectroscopy; Category 2: grade-A/B candidate with z>0.8 lensing galaxy, source redshift also secured (counted among the 27 confirmed systems)","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 2
hsc_desi_dr1,HSC J1104-0052,166.23010,-0.87796,confirmed_lens,"z_lens=0.87299+/-0.00017, z_source=2.45593+/-0.00019 (measured in this work, not DESI DR1 pipeline); DESI DR1 spectroscopy; Category 2: grade-A/B candidate with z>0.8 lensing galaxy, source redshift also secured (counted among the 27 confirmed systems)","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in HOLISMOKES XVI (Schuldt et al. 2025, arXiv:2503.07733)",arXiv:2505.16158 Table 2
hsc_desi_dr1,HSC J1107-0037,166.88870,-0.63251,confirmed_lens,"z_lens=0.81443+/-0.00010, z_source=1.4106+/-0.0003 (measured in this work, not DESI DR1 pipeline); DESI DR1 spectroscopy; Category 2: grade-A/B candidate with z>0.8 lensing galaxy, source redshift also secured (counted among the 27 confirmed systems)","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in HOLISMOKES XVI (Schuldt et al. 2025, arXiv:2503.07733)",arXiv:2505.16158 Table 2
hsc_desi_dr1,115630-020027,179.12894,-2.00767,confirmed_lens,"z_lens=0.9983+/-0.0002, z_source=2.2298+/-0.0005 (measured in this work, not DESI DR1 pipeline); DESI DR1 spectroscopy; Category 2: grade-A/B candidate with z>0.8 lensing galaxy, source redshift also secured (counted among the 27 confirmed systems)","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 2
hsc_desi_dr1,120657-010241,181.74033,-1.04476,confirmed_lens,"z_lens=0.83004+/-0.00015, z_source=2.7732+/-0.0003 (measured in this work, not DESI DR1 pipeline); DESI DR1 spectroscopy; Category 2: grade-A/B candidate with z>0.8 lensing galaxy, source redshift also secured (counted among the 27 confirmed systems)","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI X (Jaelani et al. 2024, arXiv:2312.07333)",arXiv:2505.16158 Table 2
hsc_desi_dr1,HSC J0102-0028,15.59200,-0.48117,lens_z_only,"z_lens=0.94932+/-0.00016; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in HOLISMOKES XVI (Schuldt et al. 2025, arXiv:2503.07733)",arXiv:2505.16158 Table 2
hsc_desi_dr1,020810-040220,32.04497,-4.03891,lens_z_only,"z_lens=0.9963+/-0.0002; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in Space Warps (More et al. 2016, arXiv:1504.05587)",arXiv:2505.16158 Table 2
hsc_desi_dr1,022400-034625,36.00383,-3.77384,lens_z_only,"z_lens=0.83816+/-0.00009; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in More et al. 2012 (CFHTLS/SL2S ARCS, arXiv:1109.1821)",arXiv:2505.16158 Table 2
hsc_desi_dr1,023103-021050,37.76462,-2.18061,lens_z_only,"z_lens=0.81166+/-0.00008; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 2
hsc_desi_dr1,023331-032801,38.38310,-3.46700,lens_z_only,"z_lens=1.04868+/-0.00013; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI V (Jaelani et al. 2020, arXiv:2002.01611)",arXiv:2505.16158 Table 2
hsc_desi_dr1,084423-001738,131.09584,-0.29401,lens_z_only,"z_lens=0.81546+/-0.00012; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in HOLISMOKES VI (Canameras et al. 2021, arXiv:2107.07829)",arXiv:2505.16158 Table 2
hsc_desi_dr1,084536-000456,131.40025,-0.08246,lens_z_only,"z_lens=0.80634+/-0.00011; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 2
hsc_desi_dr1,084632-015416,131.63580,-1.90470,lens_z_only,"z_lens=0.89826+/-0.00015; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 2
hsc_desi_dr1,085550-001755,133.96162,-0.29863,lens_z_only,"z_lens=0.80848+/-0.00011; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 2
hsc_desi_dr1,090241+025318,135.67125,2.88838,lens_z_only,"z_lens=0.82512+/-0.00011; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 2
hsc_desi_dr1,090404+012516,136.01790,1.4211,lens_z_only,"z_lens=0.82262+/-0.00011; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI V (Jaelani et al. 2020, arXiv:2002.01611)",arXiv:2505.16158 Table 2
hsc_desi_dr1,090429-010228,136.12390,-1.04110,lens_z_only,"z_lens=0.95820+/-0.00011; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in SuGOHI V (Jaelani et al. 2020, arXiv:2002.01611)",arXiv:2505.16158 Table 2
hsc_desi_dr1,090603+005146,136.51603,0.86283,lens_z_only,"z_lens=0.88590+/-0.00010; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI X (Jaelani et al. 2024, arXiv:2312.07333)",arXiv:2505.16158 Table 2
hsc_desi_dr1,090618+003053,136.57887,0.51496,lens_z_only,"z_lens=0.81073+/-0.00007; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 2
hsc_desi_dr1,090640+010346,136.66669,1.06304,lens_z_only,"z_lens=0.85585+/-0.00010; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 2
hsc_desi_dr1,090658+015449,136.74363,1.91368,lens_z_only,"z_lens=0.8972+/-0.0002; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in HOLISMOKES VIII (Shu et al. 2022, arXiv:2201.11135)",arXiv:2505.16158 Table 2
hsc_desi_dr1,092146+025226,140.44574,2.87408,lens_z_only,"z_lens=0.82390+/-0.00007; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 2
hsc_desi_dr1,092235+025942,140.64640,2.99500,lens_z_only,"z_lens=1.08784+/-0.00018; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI V (Jaelani et al. 2020, arXiv:2002.01611)",arXiv:2505.16158 Table 2
hsc_desi_dr1,092418+045843,141.07788,4.97871,lens_z_only,"z_lens=0.88796+/-0.00010; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 2
hsc_desi_dr1,092544+001702,141.43740,0.28410,lens_z_only,"z_lens=0.81150+/-0.00009; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in SuGOHI V (Jaelani et al. 2020, arXiv:2002.01611)",arXiv:2505.16158 Table 2
hsc_desi_dr1,093036-020204,142.65360,-2.03445,lens_z_only,"z_lens=0.920160+/-0.000010; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI X (Jaelani et al. 2024, arXiv:2312.07333)",arXiv:2505.16158 Table 2
hsc_desi_dr1,HSC J1002-0050,150.57397,-0.83380,lens_z_only,"z_lens=0.80054+/-0.00009; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in HOLISMOKES XVI (Schuldt et al. 2025, arXiv:2503.07733)",arXiv:2505.16158 Table 2
hsc_desi_dr1,100554-010357,151.47550,-1.06590,lens_z_only,"z_lens=1.08714+/-0.00011; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI V (Jaelani et al. 2020, arXiv:2002.01611)",arXiv:2505.16158 Table 2
hsc_desi_dr1,100712-012316,151.80080,-1.38780,lens_z_only,"z_lens=0.89292+/-0.00012; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI V (Jaelani et al. 2020, arXiv:2002.01611)",arXiv:2505.16158 Table 2
hsc_desi_dr1,HSC J1040+0117,160.11316,1.29061,lens_z_only,"z_lens=0.87413+/-0.00013; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in HOLISMOKES XVI (Schuldt et al. 2025, arXiv:2503.07733)",arXiv:2505.16158 Table 2
hsc_desi_dr1,114745-001349,176.93810,-0.23040,lens_z_only,"z_lens=0.82855+/-0.00009; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI V (Jaelani et al. 2020, arXiv:2002.01611)",arXiv:2505.16158 Table 2
hsc_desi_dr1,115057-015316,177.73919,-1.88799,lens_z_only,"z_lens=1.01710+/-0.00007; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 2
hsc_desi_dr1,115529-004255,178.87266,-0.71553,lens_z_only,"z_lens=0.81489+/-0.00010; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 2
hsc_desi_dr1,115857-000531,179.74062,-0.09216,lens_z_only,"z_lens=0.86199+/-0.00012; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 2
hsc_desi_dr1,120053-013357,180.22198,-1.56605,lens_z_only,"z_lens=0.85711+/-0.00008; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI VI (Sonnenfeld et al. 2020, arXiv:2004.00634)",arXiv:2505.16158 Table 2
hsc_desi_dr1,120150+002519,180.46020,0.42220,lens_z_only,"z_lens=0.82303+/-0.00011; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI V (Jaelani et al. 2020, arXiv:2002.01611)",arXiv:2505.16158 Table 2
hsc_desi_dr1,120605-001554,181.52107,-0.26500,lens_z_only,"z_lens=0.91498+/-0.00011; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI X (Jaelani et al. 2024, arXiv:2312.07333)",arXiv:2505.16158 Table 2
hsc_desi_dr1,120849+012845,182.20520,1.47920,lens_z_only,"z_lens=0.85938+/-0.00014; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI V (Jaelani et al. 2020, arXiv:2002.01611)",arXiv:2505.16158 Table 2
hsc_desi_dr1,121844+010805,184.68560,1.13473,lens_z_only,"z_lens=0.83806+/-0.00017; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in HOLISMOKES VIII (Shu et al. 2022, arXiv:2201.11135)",arXiv:2505.16158 Table 2
hsc_desi_dr1,122102+001853,185.25948,0.31493,lens_z_only,"z_lens=0.91152+/-0.00013; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in HOLISMOKES VIII (Shu et al. 2022, arXiv:2201.11135)",arXiv:2505.16158 Table 2
hsc_desi_dr1,122406-012853,186.02915,-1.48158,lens_z_only,"z_lens=0.83016+/-0.00008; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in HOLISMOKES VIII (Shu et al. 2022, arXiv:2201.11135)",arXiv:2505.16158 Table 2
hsc_desi_dr1,HSC J1231-0135,187.89751,-1.59427,lens_z_only,"z_lens=0.94332+/-0.00011; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in HOLISMOKES VI (Canameras et al. 2021, arXiv:2107.07829)",arXiv:2505.16158 Table 2
hsc_desi_dr1,HSC J1241+0026,190.41521,0.43597,lens_z_only,"z_lens=0.94519+/-0.00007; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in HOLISMOKES VI (Canameras et al. 2021, arXiv:2107.07829)",arXiv:2505.16158 Table 2
hsc_desi_dr1,124123+001603,190.34835,0.26773,lens_z_only,"z_lens=0.9450+/-0.0002; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI X (Jaelani et al. 2024, arXiv:2312.07333)",arXiv:2505.16158 Table 2
hsc_desi_dr1,135254+001131,208.22833,0.19220,lens_z_only,"z_lens=0.93232+/-0.00011; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in SuGOHI X (Jaelani et al. 2024, arXiv:2312.07333)",arXiv:2505.16158 Table 2
hsc_desi_dr1,135304+010818,208.26781,1.13840,lens_z_only,"z_lens=0.85526+/-0.00010; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in HOLISMOKES VIII (Shu et al. 2022, arXiv:2201.11135)",arXiv:2505.16158 Table 2
hsc_desi_dr1,135612-003603,209.05057,-0.60098,lens_z_only,"z_lens=0.80427+/-0.00011; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade B; discovered in HOLISMOKES VI (Canameras et al. 2021, arXiv:2107.07829)",arXiv:2505.16158 Table 2
hsc_desi_dr1,135710+010325,209.29493,1.05706,lens_z_only,"z_lens=0.82229+/-0.00009; source redshift not measured; Category 2: z>0.8 lensing galaxy spectroscopically confirmed, lensing nature unconfirmed","HSC-SSP strong-lens candidate compilation (SuGOHI webpage catalog), grade A; discovered in HOLISMOKES VIII (Shu et al. 2022, arXiv:2201.11135)",arXiv:2505.16158 Table 2
