session,workflow,role,file,killed,n_records,n_assistant,read,read_img,bash,write,websearch,webfetch,other_tools,in_tok,out_tok,cache_read,cache_create,wall_s,t0,t1,model
discovery,wf_f61affa8-59b,verify,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_f61affa8-59b/agent-a576d7d3b3ea32637.jsonl,0,109,65,32,31,7,1,0,0,1,121,13981,2315604,128274,445.167,2026-08-09T14:56:04.296000+00:00,2026-08-09T15:03:29.463000+00:00,claude-opus-5
discovery,wf_f61affa8-59b,verify,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_f61affa8-59b/agent-aedbf248fe166caff.jsonl,0,73,44,19,18,5,1,0,0,1,82,7744,1215729,95277,251.239,2026-08-09T14:56:04.219000+00:00,2026-08-09T15:00:15.458000+00:00,claude-opus-5
discovery,wf_f61affa8-59b,verify,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_f61affa8-59b/agent-a8857fea40e231ee7.jsonl,0,99,59,26,25,9,1,0,0,1,111,14143,1834187,120239,334.654,2026-08-09T14:56:04.010000+00:00,2026-08-09T15:01:38.664000+00:00,claude-opus-5
discovery,wf_90e80b1e-2bc,catalogue,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_90e80b1e-2bc/agent-ac166e7a2fa0e6227.jsonl,0,81,53,0,0,17,1,1,4,2,4257,12230,1415934,102339,262.526,2026-08-10T18:13:35.987000+00:00,2026-08-10T18:17:58.513000+00:00,claude-opus-5
discovery,wf_90e80b1e-2bc,catalogue,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_90e80b1e-2bc/agent-abfe3cabe812486dc.jsonl,0,104,69,0,0,25,1,1,3,2,125,12229,1842470,87618,387.954,2026-08-10T18:13:36.547000+00:00,2026-08-10T18:20:04.501000+00:00,claude-opus-5
discovery,wf_90e80b1e-2bc,catalogue,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_90e80b1e-2bc/agent-a2f35bc010f98b015.jsonl,0,275,172,0,0,78,3,1,13,5,316,52385,16244849,414487,1665.477,2026-08-10T18:13:38.651000+00:00,2026-08-10T18:41:24.128000+00:00,claude-opus-5
discovery,wf_c7d35643-f8a,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_c7d35643-f8a/agent-a8200823be53a1c42.jsonl,0,51,29,15,14,2,1,0,0,1,55,8334,666467,43321,144.451,2026-08-08T21:19:02.256000+00:00,2026-08-08T21:21:26.707000+00:00,claude-opus-5
discovery,wf_c7d35643-f8a,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_c7d35643-f8a/agent-af465deaa6b84221b.jsonl,0,47,27,15,14,0,1,0,0,1,51,4867,581108,37986,106.268,2026-08-08T21:19:01.524000+00:00,2026-08-08T21:20:47.792000+00:00,claude-opus-5
discovery,wf_c7d35643-f8a,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_c7d35643-f8a/agent-ac3c0fb242d7291f3.jsonl,0,47,27,15,14,0,1,0,0,1,51,8623,597256,45533,160.336,2026-08-08T21:19:01.277000+00:00,2026-08-08T21:21:41.613000+00:00,claude-opus-5
discovery,wf_c7d35643-f8a,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_c7d35643-f8a/agent-ae1b41f59c2cf216a.jsonl,0,47,27,15,14,0,1,0,0,1,51,2665,585249,40625,124.259,2026-08-08T21:19:01.604000+00:00,2026-08-08T21:21:05.863000+00:00,claude-opus-5
discovery,wf_c7d35643-f8a,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_c7d35643-f8a/agent-a243a8143769a7db1.jsonl,0,47,27,15,14,0,1,0,0,1,51,6936,583941,41063,132.369,2026-08-08T21:19:01.008000+00:00,2026-08-08T21:21:13.377000+00:00,claude-opus-5
discovery,wf_c7d35643-f8a,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_c7d35643-f8a/agent-a86b4938a8aaa1cfa.jsonl,0,46,26,15,14,0,1,0,0,1,49,6195,556681,37230,110.819,2026-08-08T21:19:02.129000+00:00,2026-08-08T21:20:52.948000+00:00,claude-opus-5
discovery,wf_c7d35643-f8a,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_c7d35643-f8a/agent-ad3b80ed320a34297.jsonl,0,50,29,15,14,1,1,0,0,1,55,8321,652996,41757,133.717,2026-08-08T21:19:01.029000+00:00,2026-08-08T21:21:14.746000+00:00,claude-opus-5
discovery,wf_c7d35643-f8a,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_c7d35643-f8a/agent-a8ccd938f083ddd60.jsonl,0,48,27,15,14,1,1,0,0,1,51,8099,599307,42504,157.909,2026-08-08T21:19:01.080000+00:00,2026-08-08T21:21:38.989000+00:00,claude-opus-5
discovery,wf_c7d35643-f8a,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_c7d35643-f8a/agent-a5a9a2a3fed9cb771.jsonl,0,40,23,12,11,0,1,0,0,1,43,1655,468551,29462,89.835,2026-08-08T21:20:45.752000+00:00,2026-08-08T21:22:15.587000+00:00,claude-opus-5
discovery,wf_c7d35643-f8a,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_c7d35643-f8a/agent-a571eb1db8d5f733f.jsonl,0,46,26,15,14,0,1,0,0,1,49,6665,563804,39289,124.768,2026-08-08T21:19:01.179000+00:00,2026-08-08T21:21:05.947000+00:00,claude-opus-5
discovery,wf_c7d35643-f8a,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_c7d35643-f8a/agent-a196dfcfa0de65f75.jsonl,0,47,27,15,14,0,1,0,0,1,51,5952,579609,37788,101.751,2026-08-08T21:19:00.826000+00:00,2026-08-08T21:20:42.577000+00:00,claude-opus-5
discovery,wf_c7d35643-f8a,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_c7d35643-f8a/agent-a71977509171511fa.jsonl,0,52,30,15,14,2,1,0,0,1,57,9196,692367,44371,173.46,2026-08-08T21:19:00.984000+00:00,2026-08-08T21:21:54.444000+00:00,claude-opus-5
discovery,wf_c7d35643-f8a,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_c7d35643-f8a/agent-a46d6b4ab1150b06a.jsonl,0,50,29,15,14,1,1,0,0,1,55,7684,648765,41640,121.611,2026-08-08T21:19:00.879000+00:00,2026-08-08T21:21:02.490000+00:00,claude-opus-5
discovery,wf_c7d35643-f8a,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_c7d35643-f8a/agent-a3e96ed6d01035365.jsonl,0,96,55,29,28,7,1,0,0,1,102,15715,1777188,91997,281.181,2026-08-08T21:19:01.047000+00:00,2026-08-08T21:23:42.228000+00:00,claude-opus-5
discovery,wf_c7d35643-f8a,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_c7d35643-f8a/agent-aae60c9e6aeb9949b.jsonl,0,50,29,15,14,1,1,0,0,1,55,6711,659729,43169,159.281,2026-08-08T21:19:01.337000+00:00,2026-08-08T21:21:40.618000+00:00,claude-opus-5
discovery,wf_6364ef1e-685,notes,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6364ef1e-685/agent-a4270d564d6bac774.jsonl,0,51,31,2,0,12,0,0,0,3,56,25014,1314724,143832,322.349,2026-08-10T23:00:46.834000+00:00,2026-08-10T23:06:09.183000+00:00,claude-opus-5
discovery,wf_6364ef1e-685,notes,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6364ef1e-685/agent-a46f95a6d5577520a.jsonl,0,30,17,0,0,8,1,0,0,1,32,11523,452758,69824,148.163,2026-08-10T23:00:47.518000+00:00,2026-08-10T23:03:15.681000+00:00,claude-opus-5
discovery,wf_6364ef1e-685,notes,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6364ef1e-685/agent-a79ae8a92e1c857a1.jsonl,0,34,20,2,0,7,1,0,0,1,39,14856,614791,101431,179.696,2026-08-10T23:00:46.544000+00:00,2026-08-10T23:03:46.240000+00:00,claude-opus-5
discovery,wf_6364ef1e-685,notes,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6364ef1e-685/agent-a26c90f72ba09b2cd.jsonl,0,33,19,1,0,8,1,0,0,1,37,11449,532004,65407,164.503,2026-08-10T23:00:47.250000+00:00,2026-08-10T23:03:31.753000+00:00,claude-opus-5
discovery,wf_6364ef1e-685,notes,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6364ef1e-685/agent-a63fab88ce1f237da.jsonl,0,34,20,1,0,9,0,0,0,1,38,3703,575074,82347,151.68,2026-08-10T23:00:47.373000+00:00,2026-08-10T23:03:19.053000+00:00,claude-opus-5
discovery,wf_6364ef1e-685,notes,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6364ef1e-685/agent-afd4c9de2df584811.jsonl,0,39,24,1,0,9,1,0,0,1,45,13641,860098,123627,179.078,2026-08-10T23:00:47.005000+00:00,2026-08-10T23:03:46.083000+00:00,claude-opus-5
discovery,wf_6364ef1e-685,notes,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6364ef1e-685/agent-a601347024ebd8e10.jsonl,0,34,19,2,0,8,1,0,0,1,37,12172,557173,71963,152.104,2026-08-10T23:00:46.940000+00:00,2026-08-10T23:03:19.044000+00:00,claude-opus-5
discovery,wf_6364ef1e-685,notes,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6364ef1e-685/agent-a1ebf53ce847f1263.jsonl,0,35,20,1,0,9,1,0,0,1,39,5766,557761,69271,130.261,2026-08-10T23:00:46.622000+00:00,2026-08-10T23:02:56.883000+00:00,claude-opus-5
discovery,wf_6364ef1e-685,notes,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6364ef1e-685/agent-a3473e004bbfd8e6e.jsonl,0,30,17,2,0,7,0,0,0,1,31,9501,408219,85711,124.365,2026-08-10T23:00:47.114000+00:00,2026-08-10T23:02:51.479000+00:00,claude-opus-5
discovery,wf_d0f3f8e1-2ff,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_d0f3f8e1-2ff/agent-aaa953e54a0018e87.jsonl,0,51,29,15,14,2,1,0,0,1,55,9426,648856,55288,151.521,2026-08-08T02:04:20.381000+00:00,2026-08-08T02:06:51.902000+00:00,claude-opus-5
discovery,wf_d0f3f8e1-2ff,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_d0f3f8e1-2ff/agent-a00a974e2b34bb48c.jsonl,0,51,29,15,14,2,1,0,0,1,55,8771,653227,57555,153.892,2026-08-08T02:04:19.896000+00:00,2026-08-08T02:06:53.788000+00:00,claude-opus-5
discovery,wf_d0f3f8e1-2ff,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_d0f3f8e1-2ff/agent-a05f1bf359ad48f0b.jsonl,0,46,26,15,14,0,1,0,0,1,49,3946,545375,51621,113.826,2026-08-08T02:04:21.026000+00:00,2026-08-08T02:06:14.852000+00:00,claude-opus-5
discovery,wf_d0f3f8e1-2ff,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_d0f3f8e1-2ff/agent-afb230515ab8232df.jsonl,0,46,26,15,14,0,1,0,0,1,49,8706,546893,54455,135.595,2026-08-08T02:04:20.509000+00:00,2026-08-08T02:06:36.104000+00:00,claude-opus-5
discovery,wf_d0f3f8e1-2ff,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_d0f3f8e1-2ff/agent-a560c78efb3eedbf1.jsonl,0,55,32,17,16,1,1,0,0,1,60,8974,734555,66156,168.229,2026-08-08T02:04:20.479000+00:00,2026-08-08T02:07:08.708000+00:00,claude-opus-5
discovery,wf_d0f3f8e1-2ff,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_d0f3f8e1-2ff/agent-aa3acc763623a5a02.jsonl,0,47,27,15,14,0,1,0,0,1,51,6918,560539,54071,129.758,2026-08-08T02:04:20.193000+00:00,2026-08-08T02:06:29.951000+00:00,claude-opus-5
discovery,wf_d0f3f8e1-2ff,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_d0f3f8e1-2ff/agent-a13ca666d264963df.jsonl,0,31,17,9,8,0,1,0,0,1,32,3220,300540,31547,61.626,2026-08-08T02:04:20.275000+00:00,2026-08-08T02:05:21.901000+00:00,claude-opus-5
discovery,wf_d0f3f8e1-2ff,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_d0f3f8e1-2ff/agent-a119149929b5be160.jsonl,0,51,29,15,14,2,1,0,0,1,54,6294,636917,54112,147.04,2026-08-08T02:04:19.962000+00:00,2026-08-08T02:06:47.002000+00:00,claude-opus-5
discovery,wf_d0f3f8e1-2ff,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_d0f3f8e1-2ff/agent-ad225646f6cf9935d.jsonl,0,53,31,15,14,2,1,0,0,1,59,9073,699093,58165,148.6,2026-08-08T02:04:20.051000+00:00,2026-08-08T02:06:48.651000+00:00,claude-opus-5
discovery,wf_d0f3f8e1-2ff,inspect,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_d0f3f8e1-2ff/agent-a811eb989c1a663e6.jsonl,0,51,29,15,14,2,1,0,0,1,55,7659,637992,60063,165.82,2026-08-08T02:04:20.141000+00:00,2026-08-08T02:07:05.961000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-ae864a1d5f01f1627.jsonl,0,133,81,0,0,13,1,1,32,2,5443,21279,3077862,149265,1137.242,2026-08-10T05:00:03.413000+00:00,2026-08-10T05:19:00.655000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-aae9218b128b6c018.jsonl,0,111,73,0,0,19,1,2,11,2,925,22601,2110545,228530,1253.452,2026-08-10T05:17:02.006000+00:00,2026-08-10T05:37:55.458000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-aacb22aafc5e90cc9.jsonl,0,188,113,0,0,24,1,1,44,2,3936,40186,5144009,202648,1202.306,2026-08-10T05:04:34.602000+00:00,2026-08-10T05:24:36.908000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-a5f2d096e24880fd1.jsonl,0,135,85,0,0,38,1,2,4,2,11784,28552,3494941,218240,1741.457,2026-08-10T05:00:03.064000+00:00,2026-08-10T05:29:04.521000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-a90a26a1b2a0dc2cc.jsonl,0,69,40,0,0,2,1,1,20,2,3758,13253,935892,70257,687.828,2026-08-10T05:15:20.257000+00:00,2026-08-10T05:26:48.085000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-aeac444297c252f21.jsonl,0,161,99,2,0,43,1,1,10,2,1638,28404,5283955,198708,911.451,2026-08-10T05:00:02.450000+00:00,2026-08-10T05:15:13.901000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-a39d39a6e12da431a.jsonl,0,126,84,0,0,30,1,1,5,2,2426,25557,3076507,150336,1016.243,2026-08-10T05:00:02.158000+00:00,2026-08-10T05:16:58.401000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-a9899dd9173358759.jsonl,0,74,43,0,0,2,1,1,22,2,2712,15474,972476,74177,753.48,2026-08-10T05:19:04.324000+00:00,2026-08-10T05:31:37.804000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-a1e1d62e3d51c4928.jsonl,0,73,43,0,0,2,1,1,21,2,7336,13879,967982,76718,588.323,2026-08-10T05:00:02.151000+00:00,2026-08-10T05:09:50.474000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-a91aa48a2acf97d3d.jsonl,0,57,35,0,0,3,1,1,12,2,2156,8676,666904,56225,370.778,2026-08-10T05:14:18.657000+00:00,2026-08-10T05:20:29.435000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-a22e19c7755d4bd68.jsonl,0,86,51,0,0,2,1,2,25,2,2833,13816,1203726,100877,1485.515,2026-08-10T05:00:02.166000+00:00,2026-08-10T05:24:47.681000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-a43876a16deddc6eb.jsonl,0,166,101,0,0,46,1,1,12,2,1142,31808,5439913,231629,1960.432,2026-08-10T05:00:03.388000+00:00,2026-08-10T05:32:43.820000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-a8baf2dbe3a85ad1a.jsonl,0,141,87,0,0,39,1,1,8,2,2371,32082,4945712,231082,1805.227,2026-08-10T05:12:45.043000+00:00,2026-08-10T05:42:50.270000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-af8991bcdcf418f8f.jsonl,0,189,115,5,5,57,1,1,5,2,965,42620,6385551,242066,1854.371,2026-08-10T05:09:53.683000+00:00,2026-08-10T05:40:48.054000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-a622559f3eccc99e9.jsonl,0,134,80,0,0,34,1,1,13,2,321,27950,3914785,197666,961.68,2026-08-10T05:19:20.950000+00:00,2026-08-10T05:35:22.630000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-a54b7e2a14065d20b.jsonl,0,173,103,0,0,7,1,1,56,2,2826,35470,4608312,180356,1305.258,2026-08-10T05:00:02.349000+00:00,2026-08-10T05:21:47.607000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-afe9b07b91d04e9e9.jsonl,0,50,28,0,0,2,1,2,12,2,5906,10098,594988,58352,594.064,2026-08-10T05:00:02.219000+00:00,2026-08-10T05:09:56.283000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-a156cd203090ce884.jsonl,0,177,109,1,0,50,1,1,10,2,2404,33477,5384672,176613,1723.338,2026-08-10T05:00:02.213000+00:00,2026-08-10T05:28:45.551000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-ac100ce446b8606d5.jsonl,0,124,77,0,0,32,1,1,8,2,3554,23336,3275467,145930,759.336,2026-08-10T05:00:02.168000+00:00,2026-08-10T05:12:41.504000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-a839d02820c66fcf7.jsonl,0,82,51,0,0,3,1,1,21,2,3493,17934,1210419,86361,859.063,2026-08-10T05:10:00.767000+00:00,2026-08-10T05:24:19.830000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-a3d2058ed15fa09c5.jsonl,0,84,50,0,0,2,1,1,25,2,4731,13198,1111530,93863,1155.199,2026-08-10T05:00:02.161000+00:00,2026-08-10T05:19:17.360000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-a633a2df6abc92d7f.jsonl,0,56,34,0,0,2,1,2,12,2,4333,7669,651748,53797,268.036,2026-08-10T05:00:03.263000+00:00,2026-08-10T05:04:31.299000+00:00,claude-opus-5
discovery,wf_6c945d1c-873,literature,dab6143e-76d1-4b4b-bcbd-e201c60a630c/subagents/workflows/wf_6c945d1c-873/agent-ae7e1fe4214ccdcb2.jsonl,0,132,83,0,0,11,1,1,31,2,2789,23052,2747777,140072,848.909,2026-08-10T05:00:02.163000+00:00,2026-08-10T05:14:11.072000+00:00,claude-opus-5
