name,ra,dec,grade_truth,euclid_id,known,catalog,region
s_176778_4403,50.879817550815396,-27.648630565414898,A,102044821_NEG508798294276486404,False,d4_edf,edf_fs
s_81263_7090,60.48364426881327,-49.06692491775905,A,102020534_NEG604836154490669092,False,d4_edf,edf_fs
s_86050_9562,59.43341017893593,-47.636844933110524,B,102021982_NEG594333174476368664,True,d4_edf,edf_fs
s_81272_7726,63.923926056530426,-48.929637651883446,A,102020539_NEG639239120489296299,False,d4_edf,edf_fs
s_166673_9358,51.70711096667753,-29.712457125663235,B,102042282_NEG517070963297124785,False,d4_edf,edf_fs
s_86048_6517,58.64936742881808,-47.64523902219946,A,102021981_NEG586493481476452509,False,d4_edf,edf_fs
s_85094_13993,63.62942657799091,-48.03330149596949,A,102021500_NEG636294430480333264,False,d4_edf,edf_fs
s_81263_7679,60.49291561771847,-48.90665707617353,B,102020534_NEG604929086489066527,False,d4_edf,edf_fs
s_180619_719,51.242261277851,-27.022160867672973,B,102045464_NEG512422645270221464,False,d4_edf,edf_fs
s_183196_881,51.849557464475396,-26.61476304483076,B,102046110_NEG518495362266147268,False,d4_edf,edf_fs
s_84129_17659,62.80427906551582,-48.228562719522664,B,102021499_NEG628042951482285714,False,d4_edf,edf_fs
s_165427_7416,52.920993344750805,-29.910009410901225,A,102041657_NEG529209996299100136,False,d4_edf,edf_fs
s_82216_7491,62.164517859223636,-48.82240806869211,A,102020536_NEG621645331488224037,False,d4_edf,edf_fs
s_90964_7021,61.789092133344184,-46.610361829763924,A,102022975_NEG617890913466103850,False,d4_edf,edf_fs
s_179347_4569,54.29096045183185,-27.269634871438132,B,102044827_NEG542909292272696454,False,d4_edf,edf_fs
s_88990_5749,63.01601896538918,-47.01935180021395,B,102022480_NEG630160205470193218,False,d4_edf,edf_fs
s_75669_9078,60.892895421358304,-50.47790424485618,A,102019128_NEG608928997504779012,False,d4_edf,edf_fs
s_170450_15146,54.48054733921225,-28.95489407794483,A,102042918_NEG544805259289548872,False,d4_edf,edf_fs
s_79385_4104,62.61565100556732,-49.46822042524001,B,102020063_NEG626156743494681651,False,d4_edf,edf_fs
s_75664_6572,58.95968078394586,-50.534012390156384,B,102019126_NEG589597149505340169,False,d4_edf,edf_fs
s_81255_6558,57.533640323983605,-48.968062943071885,B,102020530_NEG575336420489680805,False,d4_edf,edf_fs
s_87998_8744,59.0266386041858,-47.15568249120329,A,102022474_NEG590266584471556814,False,d4_edf,edf_fs
s_172977_14919,54.47354012532668,-28.55030382606052,B,102043551_NEG544735665285502399,False,d4_edf,edf_fs
s_77510_6177,59.084390995012406,-49.95620927254723,B,102019590_NEG590843564499562054,False,d4_edf,edf_fs
s_178058_11508,51.96333236528976,-27.425947273762066,A,102044823_NEG519633334274259646,False,d4_edf,edf_fs
